"","site","date","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","field_collector"
"101","2017_L_01","7/8/2013",20170709,"Inside",1,10,0,"Sandy mud","Sandy mud",2,2,"Wendel Raymond"
"102","2017_L_01","7/8/2013",20170709,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,"Wendel Raymond"
"103","2017_L_01","7/8/2013",20170709,"Inside",3,30,0,"Muddy Sand","Sandy mud",3,2,"Wendel Raymond"
"104","2017_L_01","7/8/2013",20170709,"Inside",4,40,0,"Muddy Sand","Sandy mud",3,2,"Wendel Raymond"
"105","2017_L_01","7/8/2013",20170709,"Inside",5,50,0,"Muddy Sand","Sandy mud",3,2,"Wendel Raymond"
"106","2017_L_01","7/8/2013",20170709,"Inside",6,60,0,"Muddy Sand","Sandy mud",3,2,"Wendel Raymond"
"107","2017_L_01","7/8/2013",20170709,"Inside",7,70,0,"Muddy Sand","Sandy mud",3,2,"Wendel Raymond"
"108","2017_L_01","7/8/2013",20170709,"Inside",8,80,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"109","2017_L_01","7/8/2013",20170709,"Inside",9,90,0,"Muddy Sand","Muddy Sand",3,3,"Wendel Raymond"
"110","2017_L_01","7/8/2013",20170709,"Inside",10,100,0,"Sand","Sand",4,4,"Wendel Raymond"
"111","2017_L_01","7/8/2013",20170709,"Outside",1,10,0,"Sand","Gravel",4,7,"Tiff Stephens"
"112","2017_L_01","7/8/2013",20170709,"Outside",2,20,0,"Sand","Gravel",4,7,"Tiff Stephens"
"113","2017_L_01","7/8/2013",20170709,"Outside",3,30,0,"Sand","Gravel",4,7,"Tiff Stephens"
"114","2017_L_01","7/8/2013",20170709,"Outside",4,40,0,"Sand","Gravel",4,7,"Tiff Stephens"
"115","2017_L_01","7/8/2013",20170709,"Outside",5,50,0,"Sand","Gravel",4,7,"Tiff Stephens"
"116","2017_L_01","7/8/2013",20170709,"Outside",6,60,0,"Sand","Gravel",4,7,"Tiff Stephens"
