sample_serial,data_file,site_type,site,otter_region,latitude,longitude,date_YYYYMMDD,date,month,depth_m,time_24hr,temperature_c,salinity_ppt,DO_mg/L,DO_%,conductivity,light_umol_water,light_umol_air,nox_umol,nh4_umol,po4_umol,tot_N,N:P
envEGM04201706221,env,EG,EGM04,moderate,55.52904,-133.147,20170622,6/22/2017,6,1,08:55,12.4,29.7,9.19,103.9,45852,205.6,690.5,,,,,
envEGM04201706220,env,EG,EGM04,moderate,55.52904,-133.147,20170622,6/22/2017,6,0,08:55,12.5,29.1,9.12,102.7,45801,318.1,690.5,0.424,1.301,0.364,1.725,4.739
envEGM04201708141,env,EG,EGM04,moderate,55.52904,-133.147,20170814,8/14/2017,8,1,13:55,14,31,,,,,,0,1.406,0.532,1.406,2.913
envEGM04201708144,env,EG,EGM04,moderate,55.52904,-133.147,20170814,8/14/2017,8,4,13:52,13.9,32,,,,,,0,0.798,0.377,0.798,2.125
envEGM05201706231,env,EG,EGM05,moderate,55.59929,-133.16,20170623,6/23/2017,6,1,10:00,13.5,28,9.82,111.8,43412,523.2,2057,,,,,
envEGM05201706230,env,EG,EGM05,moderate,55.59929,-133.16,20170623,6/23/2017,6,0,10:00,14.7,27.2,9.53,111.1,42374,1420.5,2057,0.798,1.766,0.53,2.564,4.846
envEGM05201708141,env,EG,EGM05,moderate,55.59929,-133.16,20170814,8/14/2017,8,1,16:19,14,29,,,,,,0.935,3.341,0.625,4.276,6.15
envEGM05201708144,env,EG,EGM05,moderate,55.59929,-133.16,20170814,8/14/2017,8,4,16:16,14.6,31,,,,,,0.416,1.751,0.512,2.167,4.181
envEGM06201708141,env,EG,EGM06,moderate,55.344914,-133.0011,20170814,8/21/2017,8,1,12:54,12.6,32,,,,,,0.722,2.446,0.463,3.168,6.773
envEGM06201708144,env,EG,EGM06,moderate,55.344914,-133.0011,20170814,8/14/2017,8,4,12:52,13.6,31,,,,,,1.36,2.341,0.571,3.701,6.407
envEGM06201708211,env,EG,EGM06,moderate,55.344914,-133.0011,20170821,8/14/2017,8,1,09:45,12.4,31.1,8.11,92.6,47912,38.8,69.5,,,,,
envEGM06201708210,env,EG,EGM06,moderate,55.344914,-133.0011,20170821,8/14/2017,8,0,09:45,12.5,28.5,8.48,95,44255,52.3,69.5,2.068,2.836,0.622,4.904,7.862
envEGM07201707261,env,EG,EGM07,moderate,55.552669,-133.431392,20170726,7/26/2017,7,1,12:00,12.6,31.5,9.1,104,48452,251.7,692.6,,,,,
envEGM07201707260,env,EG,EGM07,moderate,55.552669,-133.431392,20170726,7/26/2017,7,0,12:00,12.6,31.6,9.15,104,48550,454,692.6,0.082,1.171,0.49,1.253,2.595
envEGM07201708141,env,EG,EGM07,moderate,55.552669,-133.431392,20170814,8/14/2017,8,1,15:16,13,32,,,,,,1.643,1.716,0.638,3.359,5.26
envEGM07201708144,env,EG,EGM07,moderate,55.552669,-133.431392,20170814,8/14/2017,8,4,15:12,12.8,33,,,,,,2.093,1.911,0.638,4.004,6.269
envEGM08201708141,env,EG,EGM08,moderate,55.282137,-133.334028,20170814,8/14/2017,8,1,12:05,12.4,32,,,,,,1.268,5.816,0.796,7.084,8.9
envEGM08201708144,env,EG,EGM08,moderate,55.282137,-133.334028,20170814,8/14/2017,8,4,12:02,12,33,,,,,,1.813,0.867,0.387,2.679,6.572
envEGM08201708221,env,EG,EGM08,moderate,55.282137,-133.334028,20170822,8/22/2017,8,1,10:05,12.6,29.4,8.2,92.6,45618,21,123.4,,,,,
envEGM08201708220,env,EG,EGM08,moderate,55.282137,-133.334028,20170822,8/22/2017,8,0,10:05,12.8,16.2,8.73,90.7,26119,48.7,123.4,0.917,2.981,0.5,3.898,7.58
