"site","date_set","YYYYMMDD_set","time_set","date_pulled","YYYYMMDD_pulled","time_pulled","time_soak_hr","string","sp_code","mass_g"
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","CRABDUN",82.0404982023805
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","CRABGRA",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","CRABHEL",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","CRABRR",386.524897177385
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","UNRKCB",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","CRABDEC",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","CRABRR",629.319480243458
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","CRABDUN",223.473812858515
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","CRABGRA",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","CRABHEL",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","CRABGRA",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"1","UNRKCB",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","CRABDEC",0
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"2","CRABDUN",39.4132841292962
"2017_L_02","5/26/2017",20170526,1120,"5/27/2017",20170526,1045,23.42,"3","UNRKCB",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","CRABRR",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"1","UNRKCB",0
"2017_L_03","5/26/2017",20170526,1215,"5/26/2017",20170526,1140,23.42,"2","CRABDUN",0
