"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.3w","C18.0","C18.1w7","C18.1w9","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w6","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w","C22.4w6","C22.5w3","C22.6w3","i.C17.0"
"B_062","8","Sugar kelp","Saccharina lattisima","SUGKLP","PP",3.61035074068131e-05,0.217159766960191,0.00482284670151876,0.371287332845059,0.0127135658016575,0.000889944845213948,0,0,0.00143604676274396,0,0.0191317907887178,0.000570197371923865,0.0647094139776541,0.0603702484775627,0.0182212947162107,0.0239273945505816,0,0.0061172830769689,0,0,0.000157109768495582,0.00390036902545472,0.00155684142818493,0.107574619006828,0.0848612809349862,8.65161704964729e-05,0.000470033282143938,0,0,0,0,0
"B_063","1","Eelgrass","Zostera marina","EELGRS","PP",5.73291692991903e-07,0.00674359196521755,0.00295126741607612,0.31887601883011,0.00648656618952618,0.00258294661305192,0.0714084488901474,0,0.00267773083962658,0,0.0564546510409773,0.00226324094559343,0.00522828647202445,0.0844063283606139,0.362341829299647,9.65232113767367e-05,0.000101338861597869,0.0256030541312336,0,0.000589458518734274,0.000809755406627963,6.5489021062775e-05,8.07194703732599e-05,0.00076536351986729,0.00273886284382262,0.046276029019414,5.35072246792443e-07,4.58633354393522e-07,0,3.05755569595681e-07,0.000450454392906838,1.71987507897571e-07
"B_064","1","Eelgrass","Zostera marina","EELGRS","PP",3.68382381605532e-07,0.00668551180913649,0.00161566011706629,0.31850732932503,0.00794730814434288,0.00220680549178387,0.0705998116785926,0,0.00201461823634508,0,0.0509527657726655,0.00189946623776556,0.00459812721764839,0.0686097233749521,0.380580497390325,0.000119984308644108,0.000189305205041525,0.0280703907655118,0,0.000491465436165498,0.000867800543303338,4.09337834619324e-05,6.57020812369396e-05,0.000664453468657084,0.00214535064271132,0.0506548527737059,8.88451626225107e-07,5.20069244619575e-07,0,1.73356414873192e-07,0.000469947571169363,2.38365070450638e-07
"B_066","1","Fucus","Fucus sp.","FUCUS","PP",1.81075920343942e-07,0.195832974086252,0.00820228650177972,0.329425862850979,0.00867892359310506,0.00409506815376232,0,0,0.00387779515694162,0,0.0276005333736094,0.000367547903114134,0.117899871697751,0.119875156482415,0.0538339073334381,0.00534705422840839,4.81209258314026e-05,0.0120405708929023,0,0.000495106835200424,0.00120008066207948,0.00846220287784141,0.00368516659287974,0.0593948303313647,0.0366093410783971,0.00282865938206086,9.0628498132143e-05,8.1484164154774e-08,3.16520708761211e-05,2.9397675667839e-05,4.6943932349167e-05,5.43227761031826e-08
"B_067","1","Fucus","Fucus sp.","FUCUS","PP",0,0.201175399701319,0.00841268590748954,0.332069386837161,0.0100167751868142,0.0044380754919848,0,0,0.00391108960105007,0,0.0269130341830656,0.000342297452677384,0.119646230450495,0.118800295626443,0.0504475610124321,0.00627097332177852,1.92965839840435e-05,0.0114218944733681,0,0.00045458899490827,0.000974859258143523,0.00892716025431232,0.00335783120278454,0.0578954003676763,0.0313603501705284,0.0027486265933998,0.000242057598914949,7.80886941800323e-08,1.48542049373572e-05,3.44631436981209e-05,0.000104673556287545,6.0735651028914e-08
"B_069","1","Ulva","Ulva sp.","ULVA","PP",0.000106890467430428,0.0269614731247246,0.00347684836059898,0.429744847207337,0.00973624512782532,0.00530346327758265,0.0422665773824855,0,0.000643010426030302,0,0.0206538780302893,0.0436550349325003,0.0122698095175671,0.0591371511058842,0.21387285740895,0.00255030161475988,0.000146343950462207,0.000869115490126857,0.0443162468365272,0.000905681140895485,0.00479569288359427,0.000358945348201494,0.00250425899332486,0.00257873252675907,0.0176673917227121,0.00610123710870153,0.000489365547522524,0,0.00145678935567805,0.0462966083162533,0.00113477572148981,4.27073785395545e-07
"B_070","1","Ulva","Ulva sp.","ULVA","PP",5.96593932370972e-05,0.0203751529344992,0.00296867922955853,0.429014901696053,0.00704564155409842,0.00944107526777014,0.0529714709224164,0,0.00058521217213496,0,0.014653937263864,0.0480934539892659,0.0164161815244059,0.0694713716165584,0.197305011003317,0.00302452889471663,0.000227113540709426,0.000716750542862539,0.0501476562078618,0.00114236514368808,0.00577810866381486,0.000354336327347518,0.00304767180719652,0.00205869169068903,0.0140364925790607,0.0050667486490641,3.20902406654232e-05,5.21664010817225e-07,0.00153312310379084,0.0436543778012172,0.000777563920123565,1.10656002294563e-07
"B_078","5","Idotea","Idotea_rascata","IDORES","PC",0.000999014244455846,0.0224464031451943,0.00340633304702227,0.17310501467104,0.0378904831355097,0.00393841045477342,0,0.000518242242219161,0.00322244063849289,0,0.0793510154435035,0.0364735315989416,0.0559707386248998,0.0288659199520381,0.0246277475774049,0.00453505196834053,0.0203624813369382,0.00326164027416686,0.00585631027664566,0.014555170604885,0.0139867758876123,0.00406004461840884,0.010681900721158,0.0584299392982112,0.301862559159744,0.00942578298389933,0.0101284940998784,1.09528393794928e-05,0.000698099394135043,0.0112635541387321,0.0583071522041148,0.00175879541825435
"B_079","1","Idotea","Idotea_rascata","IDORES","PC",0.00151312485342043,0.0347316166117128,0.00592355785162972,0.297629516937196,0.0189557227995289,0.00212572233772803,0,0,0.00336035968067391,0,0.131069004027423,0.0233880733619958,0.0464167111766227,0.0247597501972972,0.0200563847318558,0.00297547349520835,0.000112683169164732,0.00582556976834385,0.00078631215907987,0.00558825976447029,0.00716104041333087,0.00250948294214754,0.007640506672804,0.0549793188552553,0.227913590768935,0.0185344428269081,0.000430972476072883,6.25322803355895e-08,0.00042009185929449,0.00514412424338677,0.0478795913427935,0.00216893214343992
"B_080","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.00628166639426758,0.00875906443815537,0.00522791201796114,0.178030726617405,0.0172509268737473,0,0,0,0.00938217735761413,0,0.0850578704699314,0.00741498997858083,0.0125961282053488,0.00709725077633741,0.0013306337149788,0.000356448546679168,0.00342147594429295,0.00067311248935493,0.0420555522103036,0.0228938890848251,0.00611661405063182,0.00229299102803417,0.00292631891338569,0.0383942933824225,0.105564683314552,0.000306448976782995,0.000913970632510688,0.0685929583401433,0.044454993935536,0.102680837154089,0.204839098158295,0.0150869669938323
"B_081","5","Butter clam","Saxidomus gigantea","CLMBUT","PC",0.00576421357104455,0.0067457674113498,0.00414696836565972,0.18155026574894,0.0141953359768948,0,0,2.12541185892869e-05,0.00839489379461855,0,0.0789894825926354,0.010669567531822,0.0105632969388756,0.00934456645703987,0.00152449996063158,0.000422184082887198,0.00429429805133546,0.000594632272350276,0.0465252655919489,0.0240359928837347,0.00821954731625694,0.00314560955121446,0.00454644918550836,0.0366324394849354,0.127607795817479,0.000284032312056834,0.00110086673329511,0.0726069673899025,0.0306146256352687,0.0886760471397029,0.203807675345271,0.0149754587387516
"B_086","5","Pointed Macoma","Macoma inquinata","CLMPOI","PC",0.0077846839972441,0.0143447693413245,0.0153152619218716,0.155927042664632,0.0299919249090626,0,0,0,0.0150907892104932,0,0.109770860034227,0.00295666861752961,0.0366616536897239,0.00561848529074031,0.0017750383381611,0.00177281583606825,0.00674529385181838,0.00130016372432084,0.0478378758806665,0.08637458050273,0.00330634228013898,0.00375380603483402,0.00453168176733366,0.0701147551913945,0.155780357526503,0.000410422053147433,0.00222842876510375,0.00231288384463229,0.0183452731084655,0.0732907106820859,0.106437106894942,0.0202203240408051
