region,site,latitude,longitude,date_yyyy.mm.dd,year,replicate,n_otter
"west prince of wales island, alaska",Garcia Cove,55.562099,-133.44899,7/25/2018,2018,2,4
"west prince of wales island, alaska",Garcia Cove,55.557812,-133.450455,7/25/2018,2018,2,2
"west prince of wales island, alaska",Garcia Cove,55.553936,-133.452713,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.551888,-133.450424,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.549713,-133.452103,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.550552,-133.457184,7/25/2018,2018,2,8
"west prince of wales island, alaska",Garcia Cove,55.54958,-133.446945,7/25/2018,2018,2,1
"west prince of wales island, alaska",Garcia Cove,55.546345,-133.45462,7/25/2018,2018,2,11
"west prince of wales island, alaska",Goat Mouth Inlet,55.19286,-132.9,6/12/2018,2018,1,0
"west prince of wales island, alaska",Goat Mouth Inlet,55.19286,-132.9,7/26/2018,2018,2,0
"west prince of wales island, alaska",Guktu Cove 2,55.761986,-133.327209,6/6/2018,2018,1,2
"west prince of wales island, alaska",Guktu Cove 2,55.764294,-133.323639,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.768661,-133.326904,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.765911,-133.320877,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.770447,-133.312042,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.760326,-133.307114,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.767998,-133.311768,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.769699,-133.309067,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.767597,-133.300461,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.767147,-133.299179,6/6/2018,2018,1,3
"west prince of wales island, alaska",Guktu Cove 2,55.764339,-133.300644,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.762115,-133.303635,6/6/2018,2018,1,2
"west prince of wales island, alaska",Guktu Cove 2,55.758949,-133.308655,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.758083,-133.308044,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.751186,-133.288498,6/6/2018,2018,1,2
"west prince of wales island, alaska",Guktu Cove 2,55.748653,-133.301529,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.75391,-133.299744,6/6/2018,2018,1,2
"west prince of wales island, alaska",Guktu Cove 2,55.754585,-133.296021,6/6/2018,2018,1,6
"west prince of wales island, alaska",Guktu Cove 2,55.75713,-133.300232,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.757771,-133.295471,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.759029,-133.290329,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.763535,-133.287292,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.761444,-133.281723,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.764179,-133.278687,6/6/2018,2018,1,6
"west prince of wales island, alaska",Guktu Cove 2,55.761086,-133.274826,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.752193,-133.284683,6/6/2018,2018,1,1
"west prince of wales island, alaska",Guktu Cove 2,55.746967,-133.276978,6/6/2018,2018,1,1
