otter_region,site,latitude,longitude,core_letter,layer_number,layer_thickness,layer_volume,sample_volume,pan_number,pan_weight,pan_sed_ww_pre_60C,pan_sed_dw_post_60C,dry_bulk_density,pan_sed_dw_pre_450C,pan_sed_dw_post450C,crucible_weight,crucible_sed_dw_pre_950C,crucible_sed_dw_post_950C
Mid,M05,55.59929,-133.16,B,6,1,19.625,19.625,6,1.27139,26.04222,9.7407,0.43156,9.7407,7.90737,,,
Mid,M05,55.59929,-133.16,B,7,1.1,21.5875,21.5875,7,1.27618,30.09055,11.65134,0.48061,11.65134,9.57833,25.01616,35.77247,32.82787
Mid,M05,55.59929,-133.16,B,8,0.9,17.6625,17.6625,8,1.27158,25.23155,10.37519,0.51542,10.37519,8.55817,,,
Mid,M05,55.59929,-133.16,B,9,1.1,21.5875,21.5875,9,1.28647,29.47919,12.39509,0.51459,12.39509,10.35313,,,
Mid,M05,55.59929,-133.16,B,10,1,19.625,19.625,10,1.28745,23.8025,9.87107,0.43738,9.87107,8.12634,,,
Mid,M05,55.59929,-133.16,B,11,1.2,23.55,23.55,11,1.29396,33.18507,14.54018,0.56247,14.54018,12.35576,,,
Mid,M05,55.59929,-133.16,B,12,0.9,17.6625,17.6625,12,1.29836,28.8365,14.31644,0.73705,14.31644,12.31622,27.52039,40.80582,37.82787
Mid,M05,55.59929,-133.16,B,13,0.9,17.6625,17.6625,13,1.27788,35.6251,25.74397,1.3852,25.74397,23.73617,,,
Mid,M05,55.59929,-133.16,B,14,1.3,25.5125,25.5125,14,1.29867,44.1291,29.99032,1.12461,29.99032,27.64247,,,
Mid,M05,55.59929,-133.16,B,15,0.9,17.6625,17.6625,15,1.30838,26.96805,16.70491,0.87171,16.70491,14.75763,,,
Mid,M05,55.59929,-133.16,B,16,1.2,23.55,23.55,16,1.28328,58.32656,48.22868,1.99344,48.22868,46.09352,,,
Mid,M05,55.59929,-133.16,B,17,1.1,21.5875,21.5875,17,1.27512,45.92812,37.51286,1.67864,37.51286,35.51341,26.96474,63.11525,58.78252
Mid,M05,55.59929,-133.16,B,18,0.9,17.6625,17.6625,18,1.2852,28.0175,17.88002,0.93955,17.88002,15.71204,,,
Mid,M05,55.59929,-133.16,B,19,0.9,17.6625,17.6625,19,1.29478,28.07068,18.30635,0.96315,18.30635,16.41056,,,
Mid,M05,55.59929,-133.16,B,20,1.1,21.5875,21.5875,20,1.26364,23.87968,15.26008,0.64836,15.26008,13.2738,,,
Mid,M05,55.59929,-133.16,B,21,1,19.625,19.625,21,1.28732,22.38135,16.04269,0.75187,16.04269,14.14376,,,
Mid,M05,55.59929,-133.16,B,22,1,19.625,19.625,22,1.2444,36.77738,27.10842,1.31791,27.10842,24.79226,28.29977,53.70292,48.45562
Mid,M05,55.59929,-133.16,B,23,1.1,21.5875,21.5875,23,1.29096,43.52398,33.02,1.46979,33.02,30.06528,,,
Mid,M05,55.59929,-133.16,B,24,1,19.625,19.625,24,1.26475,38.61421,30.35016,1.48206,30.35016,28.08618,,,
Mid,M05,55.59929,-133.16,B,25,1.2,23.55,23.55,25,1.2856,40.05039,27.17153,1.09919,27.17153,24.86621,,,
Mid,M05,55.59929,-133.16,B,26,1.1,21.5875,21.5875,26,1.27886,37.15903,25.21638,1.10886,25.21638,22.80973,,,
Mid,M05,55.59929,-133.16,B,27,1.1,21.5875,21.5875,27,1.29494,39.66752,28.52864,1.26155,28.52864,26.41248,30.19194,57.33348,50.77441
Mid,M05,55.59929,-133.16,B,28,1.1,21.5875,21.5875,28,1.29984,40.06935,28.962,1.2814,28.962,26.7756,,,
Mid,M05,55.59929,-133.16,B,29,1,19.625,19.625,29,1.32775,40.37054,29.96965,1.45946,29.96965,27.81546,,,
Mid,M05,55.59929,-133.16,B,30,1,19.625,19.625,30,1.28435,34.55736,25.30138,1.2238,25.30138,23.20143,,,
Mid,M05,55.59929,-133.16,B,31,1,19.625,19.625,31,1.28065,38.10014,27.32954,1.32733,27.32954,25.19246,,,
Mid,M05,55.59929,-133.16,B,32,1,19.625,19.625,32,1.27008,34.5125,23.26955,1.12099,23.26955,20.89134,26.52278,48.07885,43.06464
Mid,M05,55.59929,-133.16,B,33,1.2,23.55,23.55,33,1.28357,40.96937,25.94162,1.04705,25.94162,23.47874,,,
Mid,M05,55.59929,-133.16,B,34,0.9,17.6625,17.6625,34,1.28303,30.48692,18.40464,0.96938,18.40464,16.75911,,,
Mid,M05,55.59929,-133.16,B,35,1.1,21.5875,21.5875,35,1.29163,43.26284,27.56074,1.21687,27.56074,25.27328,,,
