"","otter_region","site","latitude","longitude","core_letter","layer_number","layer_thickness","layer_volume","sample_volume","pan_number","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","dry_bulk_density","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_ww_pre_60C","na.rm","sed_dw_post_60C","sed_dw_pre_450C","sed_dw_post_450C","om_weight","sed_dw_pre_950C","sed_dw_post_950C","im_weight","om_percent","im_percent","om.im_ratio","om_density","im_density","core_depth"
"38","Mid","M08",55.282137,-133.334028,"A",8,0.9,17.6625,17.6625,8,1.29676,28.7506,16.70819,0.872550884642604,16.70819,14.5328,NA,NA,NA,27.45384,TRUE,15.41143,15.41143,13.23604,2.17539,NA,NA,NA,14.1154325069121,NA,NA,1.89813846894268,NA,16
"39","Mid","M08",55.282137,-133.334028,"A",9,0.9,17.6625,17.6625,9,1.28858,28.57663,16.16622,0.842329228591649,16.16622,14.17849,NA,NA,NA,27.28805,TRUE,14.87764,14.87764,12.88991,1.98773,NA,NA,NA,13.3605195447665,NA,NA,1.67432307754848,NA,18
"40","Mid","M08",55.282137,-133.334028,"A",10,0.8,15.7,15.7,10,1.28758,27.95512,15.99326,0.936667515923567,15.99326,13.82888,NA,NA,NA,26.66754,TRUE,14.70568,14.70568,12.5413,2.16438,NA,NA,NA,14.7179865194945,NA,NA,2.02730443811465,NA,20
"41","Mid","M08",55.282137,-133.334028,"A",11,0.8,15.7,15.7,11,1.29405,31.36377,22.16881,1.3296025477707,22.16881,20.3202,NA,NA,NA,30.06972,TRUE,20.87476,20.87476,19.02615,1.84861,NA,NA,NA,8.85571858071662,NA,NA,2.4579165658344,NA,22
"42","Mid","M08",55.282137,-133.334028,"A",12,0.9,17.6625,17.6625,12,1.28501,30.98365,22.55499,1.20424515215853,22.55499,20.74073,29.57194,50.9931,47.65769,29.69864,TRUE,21.26998,21.26998,19.45572,1.81426,21.42116,18.08575,3.33541,8.52967421690101,15.5706320292645,0.54393912592455,2.18481380975513,4.01665132296107,24
"43","Mid","M08",55.282137,-133.334028,"A",13,1,19.625,19.625,13,1.28866,36.45768,25.2529,1.22110777070064,25.2529,23.13576,NA,NA,NA,35.16902,TRUE,23.96424,23.96424,21.8471,2.11714,NA,NA,NA,8.83458019115148,NA,NA,2.58525610566115,NA,26
"44","Mid","M08",55.282137,-133.334028,"A",14,1,19.625,19.625,14,1.28271,32.15986,21.93838,1.05251821656051,21.93838,19.79296,NA,NA,NA,30.87715,TRUE,20.65567,20.65567,18.51025,2.14542,NA,NA,NA,10.3865911877949,NA,NA,2.25809363217325,NA,28
"45","Mid","M08",55.282137,-133.334028,"A",15,0.9,17.6625,17.6625,15,1.30049,32.1355,23.09045,1.23368492569002,23.09045,21.00101,NA,NA,NA,30.83501,TRUE,21.78996,21.78996,19.70052,2.08944,NA,NA,NA,9.58900337586668,NA,NA,2.57771063113376,NA,30
"46","Mid","M08",55.282137,-133.334028,"A",16,0.9,17.6625,17.6625,16,1.28147,32.13356,22.79587,1.21808351026185,22.79587,20.28688,NA,NA,NA,30.85209,TRUE,21.5144,21.5144,19.00541,2.50899,NA,NA,NA,11.6619101624958,NA,NA,3.05615934641189,NA,32
"47","Mid","M08",55.282137,-133.334028,"A",17,1,19.625,19.625,17,1.28899,36.21708,26.88213,1.30410904458599,26.88213,24.52244,24.59652,49.98712,42.75714,34.92809,TRUE,25.59314,25.59314,23.23345,2.35969,25.3906,18.16062,7.22998,9.22000973698421,28.475026190795,0.326375729946694,3.07729307141911,9.42868231017579,34
