OtterID,SIN,N,C,distance,Season,Site
77286,414377,12.38,-13.89,0,Summer,Tonowek
77286,414378,12.58,-13.77,0.8,Spring,Tonowek
77286,414379,12.86,-13.58,1.4,Spring,Tonowek
77286,414380,13.24,-13.03,2.1,Winter,Tonowek
77286,414381,13.21,-13.06,2.8,Winter,Tonowek
77286,414382,13.11,-13.17,3.6,Winter,Tonowek
77286,414383,12.5,-13.38,4.3,Fall,Tonowek
77286,414384,12.26,-13.52,5,Fall,Tonowek
77286,414385,12.38,-13.62,5.7,Fall,Tonowek
77286,414386,12.26,-13.51,6.4,Summer,Tonowek
77287,414387,12.16,-13.63,0,Summer,Tonowek
77287,414388,12.47,-13.48,0.8,Spring,Tonowek
77287,414389,12.41,-13.28,1.4,Spring,Tonowek
77287,414390,13.18,-12.78,2.1,Winter,Tonowek
77287,414391,13.54,-12.48,2.8,Winter,Tonowek
77287,414392,13.4,-12.61,3.5,Winter,Tonowek
77287,414393,13.12,-12.79,4.3,Fall,Tonowek
77287,414394,13.34,-12.37,5,Fall,Tonowek
77287,414395,13.6,-12.15,5.6,Fall,Tonowek
77300,414396,12.37,-14,0,Summer,Tonowek
77300,414397,12.06,-14.1,0.9,Spring,Tonowek
77300,414398,12.01,-14.03,1.4,Spring,Tonowek
77300,414399,12.01,-14.74,2.2,Winter,Tonowek
77300,414400,12.53,-14.11,2.9,Winter,Tonowek
77300,414401,12.99,-13.46,3.7,Winter,Tonowek
77300,414402,13.08,-13.42,4.3,Fall,Tonowek
77300,414403,12.79,-13.4,5,Fall,Tonowek
77300,414404,13.27,-12.96,5.7,Fall,Tonowek
77299,414405,12.51,-13.68,0,Summer,Tonowek
77299,414406,12.1,-13.27,0.7,Spring,Tonowek
77299,414407,12.29,-13.13,1.4,Spring,Tonowek
77299,414408,13.19,-12.69,2.1,Winter,Tonowek
77299,414409,13.03,-12.95,3,Winter,Tonowek
77299,414410,13.07,-13.29,3.5,Winter,Tonowek
77299,414411,13.38,-13.24,4.2,Fall,Tonowek
77299,414412,13.72,-13.22,5,Fall,Tonowek
77299,414413,13.99,-13.13,5.7,Fall,Tonowek
77299,414414,13.64,-12.53,6.3,Summer,Tonowek
160478,414415,12.7,-12.35,0,Summer,Tonowek
160478,414416,12.16,-12.99,0.7,Summer,Tonowek
160478,414417,11.71,-13.7,1.4,Spring,Tonowek
160478,414418,11.88,-13.86,2.1,Spring,Tonowek
160478,414419,12.5,-13.23,2.8,Spring,Tonowek
160478,414420,12.43,-12.9,3.5,Winter,Tonowek
160478,414199,12.43,-12.15,4.2,Winter,Tonowek
160478,414200,12.05,-13.84,4.9,Fall,Tonowek
200768,419200,13.04,-13.3,0.1,Fall,Sukkwan Strait
200768,419201,13.12,-13.84,0.7,Summer,Sukkwan Strait
200768,419202,12.62,-12.83,2.1,Summer,Sukkwan Strait
200768,419203,12.45,-12.86,2.7,Spring,Sukkwan Strait
200768,419204,12.92,-13.43,1.3,Summer,Sukkwan Strait
200768,419205,12.55,-12.94,3.5,Spring,Sukkwan Strait
200768,419206,12.28,-13,4.3,Spring,Sukkwan Strait
200768,419207,12.02,-12.81,4.9,Winter,Sukkwan Strait
200768,419208,11.96,-13.24,5.6,Winter,Sukkwan Strait
200768,419209,12.1,-13.51,6.3,Fall,Sukkwan Strait
200769,419210,13.25,-13.1,0.1,Fall,Sukkwan Strait
200769,419211,13.18,-13.03,0.7,Summer,Sukkwan Strait
200769,419212,13.17,-13.41,1.4,Summer,Sukkwan Strait
200769,419213,13.27,-13.59,2.1,Summer,Sukkwan Strait
200769,419214,13.18,-14.1,2.8,Spring,Sukkwan Strait
200767,419215,12.84,-13.31,0,Fall,Sukkwan Strait
200767,419216,13,-12.53,0.7,Summer,Sukkwan Strait
200767,419217,12.9,-13.31,1.4,Summer,Sukkwan Strait
200767,419218,12.3,-12.78,2.1,Summer,Sukkwan Strait
200767,419219,12.52,-12.88,2.8,Spring,Sukkwan Strait
200767,419220,12.72,-12.9,3.5,Spring,Sukkwan Strait
200767,419221,12.88,-12.7,4.2,Spring,Sukkwan Strait
200767,419222,12.74,-12.85,4.9,Winter,Sukkwan Strait
200766,419223,12.77,-13.67,0.1,Fall,Sukkwan Strait
200766,419224,12.08,-15.83,0.8,Summer,Sukkwan Strait
200766,419225,12.08,-15.85,1.5,Summer,Sukkwan Strait
200766,419226,11.97,-15.8,2.1,Summer,Sukkwan Strait
200766,419227,12.84,-13.84,2.8,Spring,Sukkwan Strait
200766,419228,12.77,-14.03,3.6,Spring,Sukkwan Strait
200766,419229,13.4,-13.67,4.2,Spring,Sukkwan Strait
200766,419230,13.26,-14.42,4.9,Winter,Sukkwan Strait
200766,419231,13.17,-13.42,5.7,Winter,Sukkwan Strait
200766,419232,13.41,-13.9,6.3,Fall,Sukkwan Strait
200772,419233,12.25,-13.55,0,Fall,Sukkwan Strait
200772,419234,11.8,-13.29,0.7,Summer,Sukkwan Strait
200772,419235,12.35,-13.07,1.4,Summer,Sukkwan Strait
200772,419236,13.31,-12.08,2.1,Summer,Sukkwan Strait
200772,419237,13.04,-12.13,2.8,Spring,Sukkwan Strait
200772,419238,12.62,-12.33,3.5,Spring,Sukkwan Strait
200772,419239,12.54,-12.15,4.2,Spring,Sukkwan Strait
200771,419240,11.84,-13.47,0.1,Fall,Sukkwan Strait
200771,419241,12.88,-13.37,0.8,Summer,Sukkwan Strait
200771,419242,13.03,-13.26,1.5,Summer,Sukkwan Strait
200771,419243,13.47,-13.25,2.2,Summer,Sukkwan Strait
200771,419244,13.23,-12.92,2.8,Spring,Sukkwan Strait
200771,419245,13.09,-12.62,3.5,Spring,Sukkwan Strait
200754,419246,12.99,-13.74,0.1,Fall,Sukkwan Strait
200754,419247,12.99,-13.52,0.7,Summer,Sukkwan Strait
200754,419248,13.38,-13.4,1.4,Summer,Sukkwan Strait
200754,419251,13.13,-13.19,3.5,Spring,Sukkwan Strait
200754,419252,12.67,-13.17,4.2,Spring,Sukkwan Strait
200754,419253,12.28,-13.63,4.9,Winter,Sukkwan Strait
200754,419254,12.78,-13.52,5.6,Winter,Sukkwan Strait
200754,419255,12.83,-13.38,6.3,Fall,Sukkwan Strait
200755,419256,13.26,-13.38,0.2,Fall,Sukkwan Strait
200755,419257,13.03,-13.63,0.8,Summer,Sukkwan Strait
200755,419258,12.95,-13.21,1.4,Summer,Sukkwan Strait
200755,419259,12.46,-12.95,2.1,Summer,Sukkwan Strait
200755,419260,12.39,-13.1,2.8,Spring,Sukkwan Strait
200755,419261,12.54,-13.16,3.5,Spring,Sukkwan Strait
200755,419262,13.06,-13.14,4.2,Spring,Sukkwan Strait
200755,419263,12.73,-13.05,5.6,Winter,Sukkwan Strait
200757,419264,13.11,-13.61,0.1,Fall,Sukkwan Strait
200757,419265,12.88,-13.3,0.7,Summer,Sukkwan Strait
200757,419266,12.81,-13.57,1.4,Summer,Sukkwan Strait
200757,419267,12.78,-13.3,2.1,Summer,Sukkwan Strait
200757,419268,12.47,-13.46,2.9,Spring,Sukkwan Strait
200757,419269,12.54,-13.55,3.6,Spring,Sukkwan Strait
200751,419270,13.11,-14.07,0.1,Fall,Sukkwan Strait
200751,419271,12.93,-14.08,0.7,Summer,Sukkwan Strait
200751,419272,13.11,-13.39,1.4,Summer,Sukkwan Strait
200751,419273,13.19,-13.85,2.1,Summer,Sukkwan Strait
200751,419274,13.1,-13.48,2.8,Spring,Sukkwan Strait
200751,419275,13.09,-13.77,3.6,Spring,Sukkwan Strait
200751,419276,12.84,-13.62,4.2,Spring,Sukkwan Strait
200751,419277,12.93,-13.57,5,Winter,Sukkwan Strait
200751,419278,12.93,-13.08,5.7,Winter,Sukkwan Strait
200751,419279,12.81,-13.06,6.4,Fall,Sukkwan Strait
200752,419280,12.93,-13.02,0.1,Fall,Sukkwan Strait
200752,419281,12.84,-12.21,0.7,Summer,Sukkwan Strait
200752,419282,13.54,-13.32,1.5,Summer,Sukkwan Strait
200752,419283,13.35,-13.3,2.1,Summer,Sukkwan Strait
200752,419284,13.4,-13.26,2.8,Spring,Sukkwan Strait
200752,419285,13.46,-13.42,3.5,Spring,Sukkwan Strait
200752,419286,12.79,-12.42,4.2,Spring,Sukkwan Strait
200752,419287,13.34,-12.54,5,Winter,Sukkwan Strait
200758,419288,13.11,-13.37,0.2,Fall,Sukkwan Strait
200758,419289,13.19,-13.34,0.7,Summer,Sukkwan Strait
200758,419290,13.02,-13.43,1.4,Summer,Sukkwan Strait
200758,419291,12.16,-13.51,2.1,Summer,Sukkwan Strait
200758,419292,12.31,-13.81,2.8,Spring,Sukkwan Strait
200758,419293,12.4,-13.83,3.5,Spring,Sukkwan Strait
200758,419294,12.19,-13.73,4.2,Spring,Sukkwan Strait
200758,419295,11.8,-13.68,4.9,Winter,Sukkwan Strait
200760,419296,13.3,-13.95,0.1,Fall,Sukkwan Strait
200760,419297,13.18,-13.81,0.7,Summer,Sukkwan Strait
200760,419298,13.55,-13.81,1.4,Summer,Sukkwan Strait
200760,419299,13.62,-13.5,2,Summer,Sukkwan Strait
200760,419300,13.45,-13.27,2.8,Spring,Sukkwan Strait
200760,419301,13.32,-14.08,3.5,Spring,Sukkwan Strait
200760,419302,13.73,-13.34,4.2,Spring,Sukkwan Strait
200760,419303,13.72,-13.53,4.9,Winter,Sukkwan Strait
200762,419304,12.88,-13.43,0.1,Fall,Sukkwan Strait
200762,419305,12.81,-13.78,0.7,Summer,Sukkwan Strait
200762,419306,13.33,-13.33,1.4,Summer,Sukkwan Strait
