"","site_code","site_name","latitude_N","longitude_E","date_MMDDYY","date_YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no"
"181","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",1,10,3,"Sandy Mud","Cobble",2,8,5
"182","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",2,20,6,"Muddy Sand","Cobble",3,8,5.5
"183","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",3,30,8,"Muddy Sand","Cobble",3,8,5.5
"184","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",4,40,10,"Muddy Sand","Gravel",3,7,5
"185","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",5,50,10,"Muddy Sand","Gravel",3,7,5
"186","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",6,60,6,"Muddy Sand","Gravel",3,7,5
"187","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",7,70,4,"Muddy Sand","Gravel",3,7,5
"188","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",8,80,9,"Muddy Sand","Gravel",3,7,5
"189","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",9,90,14,"Muddy Sand","Gravel",3,7,5
"190","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Edge",10,100,15,"Sand","Gravel",4,7,5.5
"191","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Inside",1,10,0,"Muddy Sand","Muddy Sand",3,3,3
"192","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Inside",2,20,2,"Muddy Sand","Muddy Sand",3,3,3
"193","H_07_a","Blanquizal Bay a",55.62082,-133.38664,"8/19/2013",20170820,"Inside",3,30,1,"Muddy Sand","Muddy Sand",3,3,3
