"","latitude_N","longitude_E","layer_number","layer_thickness_cm","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","site_code"
"138",55.0848,-132.826,23,0.9,1.31855,40.09972,35.23236,35.23236,33.08586,NA,NA,NA,"2017_L_05"
"139",55.0848,-132.826,24,0.8,1.27724,33.1242,28.86552,28.86552,26.99309,NA,NA,NA,"2017_L_05"
"140",55.0848,-132.826,25,0.9,1.28062,38.23022,33.41997,33.41997,31.38003,NA,NA,NA,"2017_L_05"
"141",55.0848,-132.826,26,0.8,1.28782,37.68366,32.67362,32.67362,29.99898,NA,NA,NA,"2017_L_05"
"142",55.0848,-132.826,27,0.9,1.28905,42.3408,38.09953,38.09953,36.22883,28.68294,59.37626,55.86641,"2017_L_05"
"143",55.0848,-132.826,28,1,1.2812,44.90201,40.37559,40.37559,38.44245,NA,NA,NA,"2017_L_05"
"144",55.0848,-132.826,29,0.8,1.28537,36.78506,33.41907,33.41907,31.67126,NA,NA,NA,"2017_L_05"
"145",55.0848,-132.826,30,0.9,1.28528,42.06188,37.09705,37.09705,34.79639,NA,NA,NA,"2017_L_05"
"146",55.0848,-132.826,31,0.9,1.28804,40.15832,35.4732,35.4732,33.39701,26.3005,61.55035,57.27148,"2017_L_05"
"147",55.59929,-133.16,1,1,1.27322,46.94349,12.84608,12.84608,10.46088,NA,NA,NA,"2017_M_05"
"148",55.59929,-133.16,2,1,1.25269,25.62122,8.01568,8.01568,6.48711,23.06715,30.39599,27.86273,"2017_M_05"
"149",55.59929,-133.16,3,1.3,1.25617,30.84944,10.87921,10.87921,8.96509,NA,NA,NA,"2017_M_05"
"150",55.59929,-133.16,4,1.2,1.2779,32.20044,11.50084,11.50084,9.42506,NA,NA,NA,"2017_M_05"
"151",55.59929,-133.16,5,0.9,1.28501,22.46186,8.01569,8.01569,6.37034,NA,NA,NA,"2017_M_05"
"152",55.59929,-133.16,6,1,1.27139,26.04222,9.7407,9.7407,7.90737,NA,NA,NA,"2017_M_05"
"153",55.59929,-133.16,7,1.1,1.27618,30.09055,11.65134,11.65134,9.57833,25.01616,35.77247,32.82787,"2017_M_05"
"154",55.59929,-133.16,8,0.9,1.27158,25.23155,10.37519,10.37519,8.55817,NA,NA,NA,"2017_M_05"
"155",55.59929,-133.16,9,1.1,1.28647,29.47919,12.39509,12.39509,10.35313,NA,NA,NA,"2017_M_05"
"156",55.59929,-133.16,10,1,1.28745,23.8025,9.87107,9.87107,8.12634,NA,NA,NA,"2017_M_05"
"157",55.59929,-133.16,11,1.2,1.29396,33.18507,14.54018,14.54018,12.35576,NA,NA,NA,"2017_M_05"
"158",55.59929,-133.16,12,0.9,1.29836,28.8365,14.31644,14.31644,12.31622,27.52039,40.80582,37.82787,"2017_M_05"
"159",55.59929,-133.16,13,0.9,1.27788,35.6251,25.74397,25.74397,23.73617,NA,NA,NA,"2017_M_05"
"160",55.59929,-133.16,14,1.3,1.29867,44.1291,29.99032,29.99032,27.64247,NA,NA,NA,"2017_M_05"
"161",55.59929,-133.16,15,0.9,1.30838,26.96805,16.70491,16.70491,14.75763,NA,NA,NA,"2017_M_05"
"162",55.59929,-133.16,16,1.2,1.28328,58.32656,48.22868,48.22868,46.09352,NA,NA,NA,"2017_M_05"
"163",55.59929,-133.16,17,1.1,1.27512,45.92812,37.51286,37.51286,35.51341,26.96474,63.11525,58.78252,"2017_M_05"
"164",55.59929,-133.16,18,0.9,1.2852,28.0175,17.88002,17.88002,15.71204,NA,NA,NA,"2017_M_05"
"165",55.59929,-133.16,19,0.9,1.29478,28.07068,18.30635,18.30635,16.41056,NA,NA,NA,"2017_M_05"
"166",55.59929,-133.16,20,1.1,1.26364,23.87968,15.26008,15.26008,13.2738,NA,NA,NA,"2017_M_05"
"167",55.59929,-133.16,21,1,1.28732,22.38135,16.04269,16.04269,14.14376,NA,NA,NA,"2017_M_05"
"168",55.59929,-133.16,22,1,1.2444,36.77738,27.10842,27.10842,24.79226,28.29977,53.70292,48.45562,"2017_M_05"
"169",55.59929,-133.16,23,1.1,1.29096,43.52398,33.02,33.02,30.06528,NA,NA,NA,"2017_M_05"
"170",55.59929,-133.16,24,1,1.26475,38.61421,30.35016,30.35016,28.08618,NA,NA,NA,"2017_M_05"
"171",55.59929,-133.16,25,1.2,1.2856,40.05039,27.17153,27.17153,24.86621,NA,NA,NA,"2017_M_05"
"172",55.59929,-133.16,26,1.1,1.27886,37.15903,25.21638,25.21638,22.80973,NA,NA,NA,"2017_M_05"
"173",55.59929,-133.16,27,1.1,1.29494,39.66752,28.52864,28.52864,26.41248,30.19194,57.33348,50.77441,"2017_M_05"
"174",55.59929,-133.16,28,1.1,1.29984,40.06935,28.962,28.962,26.7756,NA,NA,NA,"2017_M_05"
"175",55.59929,-133.16,29,1,1.32775,40.37054,29.96965,29.96965,27.81546,NA,NA,NA,"2017_M_05"
"176",55.59929,-133.16,30,1,1.28435,34.55736,25.30138,25.30138,23.20143,NA,NA,NA,"2017_M_05"
"177",55.59929,-133.16,31,1,1.28065,38.10014,27.32954,27.32954,25.19246,NA,NA,NA,"2017_M_05"
"178",55.59929,-133.16,32,1,1.27008,34.5125,23.26955,23.26955,20.89134,26.52278,48.07885,43.06464,"2017_M_05"
"179",55.59929,-133.16,33,1.2,1.28357,40.96937,25.94162,25.94162,23.47874,NA,NA,NA,"2017_M_05"
"180",55.59929,-133.16,34,0.9,1.28303,30.48692,18.40464,18.40464,16.75911,NA,NA,NA,"2017_M_05"
"181",55.59929,-133.16,35,1.1,1.29163,43.26284,27.56074,27.56074,25.27328,NA,NA,NA,"2017_M_05"
"182",55.344914,-133.0011,1,1.1,2.56983,70.03577,53.57454,49.93659,48.72959,NA,NA,NA,"2017_M_06"
"183",55.344914,-133.0011,2,1.1,1.29293,62.90254,46.88539,45.29646,44.06703,26.64137,NA,68.36834,"2017_M_06"
"184",55.344914,-133.0011,3,1.1,1.29209,35.94615,27.74324,26.26787,25.6713,NA,NA,NA,"2017_M_06"
"185",55.344914,-133.0011,4,1.3,1.29446,33.72538,27.43886,25.56888,25.07836,NA,NA,NA,"2017_M_06"
"186",55.344914,-133.0011,5,1.1,1.29216,37.71577,32.78004,31.2022,30.75432,NA,NA,NA,"2017_M_06"
