Zone,Year,Status,Season,Age,Prey Cat,Kcal_min,Proportion,g_min,Long-Term,sd L-T,CL95L L-T,CL95H L-T,sd bouts,CL95L bouts,CL95H bouts,Nbouts,Ndives,MnDvTm,sdDvTm,MnSfTm,sdSfTm,Succrate,Diversity
,,,,Juvenile,Crab,0.255843479,0.041916149,0.311939857,,,,,,,,,,,,,,,
,,,,Juvenile,Cucumber,0.010614702,0.006427422,0.047552231,,,,,,,,,,,,,,,
,,,,Juvenile,Mussel,0.020361016,0.005125607,0.038088581,,,,,,,,,,,,,,,
,,,,Juvenile,Snail,0.024077048,0.002898162,0.021553759,,,,,,,,,,,,,,,
,,,,Juvenile,Star,0.027755186,0.002916135,0.021637943,,,,,,,,,,,,,,,
,,,,Juvenile,Urchin,0.29965907,0.036773246,0.273987611,,,,,,,,,,,,,,,
,,,,Juvenile,"Bivalve, other",0.086865228,0.010586956,0.078482591,,,,,,,,,,,,,,,
,,,,Juvenile,Ablaone,0,0,0,,,,,,,,,,,,,,,
,,,,Juvenile,Chiton,0.182852633,0.027987527,0.210850095,,,,,,,,,,,,,,,
,,,,Juvenile,Worm,0.02526979,0.00460257,0.034175136,,,,,,,,,,,,,,,
,,,,Juvenile,Shrimp,0.013979023,0.001513744,0.011200371,,,,,,,,,,,,,,,
,,,,Juvenile,Other,0.071165771,0.027891146,0.208881637,,,,,,,,,,,,,,,
,,,,Adult,Clam,5.577983049,0.791169019,7.512335788,,,,,,,,,,,,,,,
,,,,Adult,Crab,0.353017259,0.042100177,0.399562871,,,,,,,,,,,,,,,
,,,,Adult,Cucumber,0.19266761,0.08869034,0.843032162,,,,,,,,,,,,,,,
,,,,Adult,Mussel,0.037687791,0.005428974,0.051521816,,,,,,,,,,,,,,,
,,,,Adult,Snail,0.386010984,0.03550933,0.337085909,,,,,,,,,,,,,,,
,,,,Adult,Star,0.157608428,0.010789173,0.102396593,,,,,,,,,,,,,,,
,,,,Adult,Urchin,0.403790057,0.015313978,0.145319891,,,,,,,,,,,,,,,
,,,,Adult,"Bivalve, other",0.021622375,0.002994464,0.028457029,,,,,,,,,,,,,,,
,,,,Adult,Ablaone,0.020551184,0.001900577,0.018041021,,,,,,,,,,,,,,,
,,,,Adult,Chiton,0.026128806,0.003590315,0.034091533,,,,,,,,,,,,,,,
,,,,Adult,Worm,0.003315849,0.000620715,0.0058885,,,,,,,,,,,,,,,
,,,,Adult,Shrimp,0.003827928,0.000326389,0.003095298,,,,,,,,,,,,,,,
,,,,Adult,Other,0.016400134,0.001566547,0.014860638,,,,,,,,,,,,,,,
,,Female_no_pup,,,,,,,7.017715389,0.714007167,5.618261342,8.417169437,4.258888008,2.422640594,15.04209621,37,484,84.11746032,43.30843476,50.74798061,35.57754385,0.901123596,0.441836636
,,Female_w_pup,,,,,,,5.968530085,0.367755959,5.247728406,6.689331764,3.292723396,2.250448054,12.19361159,75,849,80.87668767,45.28275636,53.2863806,38.92554459,0.929782082,1.231200151
,,Male,,,,,,,7.11420214,0.504991791,6.12441823,8.10398605,4.084627338,2.581336305,14.83253255,69,821,87.37179487,40.71700462,58.87713998,45.36795146,0.856957087,0.343422192
,,Female_no_pup,,,Clam,6.171217984,0.919875393,8.026267495,,,,,,,,,,,,,,,
,,Female_no_pup,,,Crab,0.205771321,0.02697902,0.233593601,,,,,,,,,,,,,,,
,,Female_no_pup,,,Cucumber,0.014885141,0.007778726,0.067364954,,,,,,,,,,,,,,,
,,Female_no_pup,,,Mussel,0.033892549,0.007505805,0.065189083,,,,,,,,,,,,,,,
,,Female_no_pup,,,Snail,0.044152381,0.004483669,0.038824909,,,,,,,,,,,,,,,
,,Female_no_pup,,,Star,0.076333511,0.005511245,0.047735278,,,,,,,,,,,,,,,
,,Female_no_pup,,,Urchin,0.218505574,0.008805137,0.076265118,,,,,,,,,,,,,,,
,,Female_no_pup,,,"Bivalve, other",0.037034762,0.004051643,0.035079745,,,,,,,,,,,,,,,
,,Female_no_pup,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
,,Female_no_pup,,,Chiton,0,0,0,,,,,,,,,,,,,,,
,,Female_no_pup,,,Worm,0.019683826,0.003228537,0.027867429,,,,,,,,,,,,,,,
,,Female_no_pup,,,Shrimp,0.105213824,0.009814812,0.084792902,,,,,,,,,,,,,,,
,,Female_no_pup,,,Other,0.019241387,0.001966011,0.016999261,,,,,,,,,,,,,,,
,,Female_w_pup,,,Clam,3.88296045,0.599988066,5.266255933,,,,,,,,,,,,,,,
,,Female_w_pup,,,Crab,0.790395935,0.101529084,0.892280389,,,,,,,,,,,,,,,
,,Female_w_pup,,,Cucumber,0.40458688,0.20315278,1.791408652,,,,,,,,,,,,,,,
,,Female_w_pup,,,Mussel,0.000925884,0.000135874,0.001190218,,,,,,,,,,,,,,,
,,Female_w_pup,,,Snail,0,0,0,,,,,,,,,,,,,,,
,,Female_w_pup,,,Star,0.1235786,0.010051676,0.088164931,,,,,,,,,,,,,,,
,,Female_w_pup,,,Urchin,0.363700806,0.039381901,0.346326201,,,,,,,,,,,,,,,
,,Female_w_pup,,,"Bivalve, other",0.153898238,0.024317292,0.214010341,,,,,,,,,,,,,,,
,,Female_w_pup,,,Ablaone,0.06285834,0.006297047,0.055370919,,,,,,,,,,,,,,,
,,Female_w_pup,,,Chiton,0.081563554,0.012219174,0.107184787,,,,,,,,,,,,,,,
,,Female_w_pup,,,Worm,0.017036251,0.002751977,0.024147563,,,,,,,,,,,,,,,
,,Female_w_pup,,,Shrimp,0,0,0,,,,,,,,,,,,,,,
,,Female_w_pup,,,Other,0.000918418,0.000175129,0.001535361,,,,,,,,,,,,,,,
,,Male,,,Clam,6.35144509,0.928887003,8.411205751,,,,,,,,,,,,,,,
,,Male,,,Crab,0.073089508,0.009401594,0.084878938,,,,,,,,,,,,,,,
,,Male,,,Cucumber,0.005666889,0.002746039,0.024761196,,,,,,,,,,,,,,,
,,Male,,,Mussel,0,0,0,,,,,,,,,,,,,,,
,,Male,,,Snail,0.451625864,0.043200681,0.394443182,,,,,,,,,,,,,,,
,,Male,,,Star,0.145732921,0.011435859,0.103231625,,,,,,,,,,,,,,,
,,Male,,,Urchin,0.019202452,0.000713009,0.006435578,,,,,,,,,,,,,,,
,,Male,,,"Bivalve, other",0.013501756,0.001554638,0.014015588,,,,,,,,,,,,,,,
,,Male,,,Ablaone,0,0,0,,,,,,,,,,,,,,,
,,Male,,,Chiton,0,0,0,,,,,,,,,,,,,,,
,,Male,,,Worm,0.011206482,0.002061178,0.018614432,,,,,,,,,,,,,,,
,,Male,,,Shrimp,0,0,0,,,,,,,,,,,,,,,
,,Male,,,Other,0,0,0,,,,,,,,,,,,,,,
