geo_region,site_name,site_code,so_region,latitude_N,longitude_E,date_mm.dd.yyyy,year,replicate,n_otter
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.821213,-133.181931,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.824432,-133.179794,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.822525,-133.175858,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.831886,-133.180878,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.830849,-133.180603,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.836586,-133.176453,27/7/18,2018,2,13
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.834503,-133.179245,27/7/18,2018,2,2
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.837357,-133.192566,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.835983,-133.194794,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.838661,-133.197754,27/7/18,2018,2,1
"west prince of wales island, alaska",Chusini Cove b,H_03_b,High,55.837757,-133.198547,27/7/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.07901,-132.866409,24/7/18,2018,1,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.067772,-132.864655,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.080021,-132.8517,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.076439,-132.847565,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.082912,-132.822647,24/7/18,2018,1,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.090267,-132.870193,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.088593,-132.87674,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.079983,-132.870895,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.076935,-132.868332,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.071541,-132.861374,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.07053,-132.852188,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.076431,-132.854492,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.079681,-132.841644,10/8/18,2018,2,4
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.075226,-132.841202,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.080471,-132.819992,10/8/18,2018,2,7
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.085915,-132.815109,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.084122,-132.81897,10/8/18,2018,2,2
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.087788,-132.817032,10/8/18,2018,2,1
"west prince of wales island, alaska",Dunbar Inlet a,L_05_a,Low,55.088291,-132.810989,10/8/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.571144,-133.408615,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.572372,-133.417526,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.573215,-133.436829,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.569866,-133.42598,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.563629,-133.430984,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.561798,-133.434387,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.563274,-133.441254,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.56382,-133.447556,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.564392,-133.446381,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.565678,-133.451477,23/5/18,2018,1,23
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.569313,-133.448288,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.56546,-133.457382,23/5/18,2018,1,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.558716,-133.456207,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.557762,-133.457825,23/5/18,2018,1,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.558914,-133.460007,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.552109,-133.460037,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.553585,-133.457657,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.550152,-133.457825,23/5/18,2018,1,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.546383,-133.451538,23/5/18,2018,1,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.550697,-133.449249,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.565861,-133.468246,23/5/18,2018,1,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.571682,-133.409592,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.570847,-133.422546,25/7/18,2018,2,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.569324,-133.428253,25/7/18,2018,2,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.555939,-133.431931,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.566093,-133.450928,25/7/18,2018,2,3
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.562099,-133.44899,25/7/18,2018,2,4
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.557812,-133.450455,25/7/18,2018,2,2
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.553936,-133.452713,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.551888,-133.450424,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.549713,-133.452103,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.550552,-133.457184,25/7/18,2018,2,8
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.54958,-133.446945,25/7/18,2018,2,1
"west prince of wales island, alaska",Garcia Cove a,M_07_a,Mid,55.546345,-133.45462,25/7/18,2018,2,11
"west prince of wales island, alaska",Goats Mouth Inlet a,L_02_a,Low,55.19286,-132.9,12/6/18,2018,1,0
"west prince of wales island, alaska",Goats Mouth Inlet a,L_02_a,Low,55.19286,-132.9,26/7/18,2018,2,0
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.761986,-133.327209,6/6/18,2018,1,2
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.764294,-133.323639,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.768661,-133.326904,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.765911,-133.320877,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.770447,-133.312042,6/6/18,2018,1,1
"west prince of wales island, alaska",Guktu Cove b,H_06_b,High,55.760326,-133.307114,6/6/18,2018,1,1
