site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_H_06,7/23/2013,20170724,Outside,9,90,2,Mud,Mud,1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_H_06,7/23/2013,20170724,Outside,10,100,3,Mud,Sandy mud,1,2,1.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",
2017_L_01,7/8/2013,20170709,Edge,1,10,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,2,20,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,3,30,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,4,40,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,5,50,0,Sand,Gravel,4,7,5.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,6,60,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,7,70,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,8,80,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,9,90,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Edge,10,100,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,1,10,0,Sandy mud,Sandy mud,2,2,2,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,2,20,0,Sandy mud,Sandy mud,2,2,2,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,3,30,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,4,40,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,5,50,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,6,60,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,7,70,0,Muddy Sand,Sandy mud,3,2,2.5,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,8,80,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,9,90,0,Muddy Sand,Muddy Sand,3,3,3,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Inside,10,100,0,Sand,Sand,4,4,4,Wendel Raymond,
2017_L_01,7/8/2013,20170709,Outside,1,10,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,2,20,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,3,30,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,4,40,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,5,50,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,6,60,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,7,70,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,8,80,0,Sand,Gravel,4,7,5.5,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,9,90,0,Sand,Sand,4,4,4,Tiff Stephens,
2017_L_01,7/8/2013,20170709,Outside,10,100,0,Sand,Sand,4,4,4,Tiff Stephens,
2017_L_02,7/14/2013,20170715,Edge,1,10,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,2,20,0,Gravel,Sand,7,4,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,4,40,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,5,50,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,6,60,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,7,70,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,8,80,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,9,90,0,Pebble,Sand,6,4,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Edge,10,100,0,Sand,Pebble,4,6,5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,1,10,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,2,20,0,Sand,Sand,4,4,4,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,3,30,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
2017_L_02,7/14/2013,20170715,Inside,4,40,0,Sand,Gravel,4,7,5.5,"Tiff Stephens, Wendel Raymond",
