,site,longitude,latitude,n_otters,survey_dat
185,Baker Island,-133.594681,55.352966,1,8/12/2019
186,Baker Island,-133.59787,55.352631,1,8/12/2019
187,Baker Island,-133.597824,55.354706,1,8/12/2019
188,Baker Island,-133.598831,55.354267,1,8/12/2019
189,Baker Island,-133.607132,55.344601,2,8/12/2019
190,Baker Island,-133.61261,55.34127,1,8/12/2019
191,Port Refugio,-133.319366,55.278969,1,8/12/2019
192,Klawock & Shinaku,-133.110947,55.599438,1,8/12/2019
193,Klawock & Shinaku,-133.113251,55.602016,1,8/12/2019
194,Klawock & Shinaku,-133.125336,55.604939,1,8/12/2019
195,Klawock & Shinaku,-133.133682,55.601028,1,8/12/2019
196,Klawock & Shinaku,-133.131775,55.599129,1,8/12/2019
197,Klawock & Shinaku,-133.132538,55.598038,1,8/12/2019
198,Klawock & Shinaku,-133.138733,55.596191,1,8/12/2019
199,Klawock & Shinaku,-133.146057,55.595638,1,8/12/2019
200,Klawock & Shinaku,-133.147552,55.595646,1,8/12/2019
201,Klawock & Shinaku,-133.152481,55.595642,1,8/12/2019
202,Klawock & Shinaku,-133.14978,55.595451,1,8/12/2019
203,Klawock & Shinaku,-133.155304,55.595936,2,8/12/2019
204,Klawock & Shinaku,-133.161819,55.596272,1,8/12/2019
205,Klawock & Shinaku,-133.169434,55.596165,4,8/12/2019
206,Klawock & Shinaku,-133.164612,55.59269,1,8/12/2019
207,Klawock & Shinaku,-133.167145,55.591595,1,8/12/2019
208,Klawock & Shinaku,-133.16925,55.598431,1,8/12/2019
209,Klawock & Shinaku,-133.164322,55.600193,1,8/12/2019
210,Klawock & Shinaku,-133.162643,55.583405,1,8/12/2019
211,Klawock & Shinaku,-133.14975,55.585384,1,8/12/2019
212,Klawock & Shinaku,-133.150742,55.582878,1,8/12/2019
213,Klawock & Shinaku,-133.163239,55.586784,1,8/12/2019
214,Klawock & Shinaku,-133.163788,55.578358,1,8/12/2019
215,Klawock & Shinaku,-133.166794,55.577362,1,8/12/2019
216,Klawock & Shinaku,-133.154617,55.578552,1,8/12/2019
217,Klawock & Shinaku,-133.158142,55.574894,1,8/12/2019
218,Klawock & Shinaku,-133.161453,55.573837,1,8/12/2019
219,Klawock & Shinaku,-133.162766,55.573399,1,8/12/2019
220,Klawock & Shinaku,-133.164169,55.572948,1,8/12/2019
221,Klawock & Shinaku,-133.169067,55.576847,16,8/12/2019
222,Klawock & Shinaku,-133.168503,55.572575,1,8/12/2019
223,Klawock & Shinaku,-133.175705,55.574383,2,8/12/2019
224,Klawock & Shinaku,-133.176895,55.5741,2,8/12/2019
225,Klawock & Shinaku,-133.186447,55.573746,2,8/12/2019
226,Klawock & Shinaku,-133.190262,55.574341,1,8/12/2019
227,Klawock & Shinaku,-133.189484,55.570446,1,8/12/2019
228,Klawock & Shinaku,-133.195526,55.573837,1,8/12/2019
229,Klawock & Shinaku,-133.19603,55.576172,3,8/12/2019
230,Klawock & Shinaku,-133.18689,55.576908,1,8/12/2019
231,Klawock & Shinaku,-133.190552,55.578342,1,8/12/2019
232,Klawock & Shinaku,-133.138275,55.588654,1,8/12/2019
233,Klawock & Shinaku,-133.139069,55.589317,1,8/12/2019
234,Klawock & Shinaku,-133.11441,55.59729,1,8/12/2019
235,Klawock & Shinaku,-133.119232,55.58654,1,8/12/2019
236,Klawock & Shinaku,-133.125336,55.587509,1,8/12/2019
237,Garcia Cove,-133.395599,55.570454,1,8/13/2019
238,Garcia Cove,-133.430115,55.562603,1,8/13/2019
239,Garcia Cove,-133.42424,55.563194,1,8/13/2019
240,Garcia Cove,-133.449524,55.56303,1,8/13/2019
241,Garcia Cove,-133.467209,55.549133,33,8/13/2019
242,Blanquizal,-133.38884,55.613758,1,8/13/2019
243,Blanquizal,-133.393066,55.613091,1,8/13/2019
244,Blanquizal,-133.40593,55.626671,3,8/13/2019
245,Blanquizal,-133.398529,55.62138,1,8/13/2019
246,Blanquizal,-133.400162,55.634476,1,8/13/2019
247,Blanquizal,-133.434738,55.631695,6,8/13/2019
248,Kaguk & Guktu,-133.31398,55.765076,4,8/14/2019
249,Kaguk & Guktu,-133.312912,55.76128,1,8/14/2019
250,Kaguk & Guktu,-133.312164,55.760479,1,8/14/2019
251,Kaguk & Guktu,-133.306641,55.764633,2,8/14/2019
252,Kaguk & Guktu,-133.313095,55.754242,2,8/14/2019
253,Kaguk & Guktu,-133.302017,55.753773,53,8/14/2019
254,Kaguk & Guktu,-133.30098,55.751595,1,8/14/2019
255,Kaguk & Guktu,-133.310608,55.748722,2,8/14/2019
256,Kaguk & Guktu,-133.305756,55.750404,1,8/14/2019
257,Kaguk & Guktu,-133.304367,55.751961,1,8/14/2019
258,Kaguk & Guktu,-133.303268,55.7486,1,8/14/2019
259,Kaguk & Guktu,-133.312607,55.746231,1,8/14/2019
260,Kaguk & Guktu,-133.304794,55.753651,1,8/14/2019
261,Kaguk & Guktu,-133.302567,55.756092,3,8/14/2019
262,Kaguk & Guktu,-133.300232,55.760899,1,8/14/2019
263,Kaguk & Guktu,-133.29924,55.767017,1,8/14/2019
264,Kaguk & Guktu,-133.286652,55.76054,134,8/14/2019
265,Kaguk & Guktu,-133.276886,55.763317,13,8/14/2019
266,Kaguk & Guktu,-133.29924,55.772484,1,8/14/2019
267,Kaguk & Guktu,-133.28688,55.775322,1,8/14/2019
268,Kaguk & Guktu,-133.282471,55.75843,1,8/14/2019
269,Kaguk & Guktu,-133.278503,55.758282,1,8/14/2019
270,Kaguk & Guktu,-133.286209,55.756275,3,8/14/2019
271,Kaguk & Guktu,-133.282104,55.753765,1,8/14/2019
272,Kaguk & Guktu,-133.274872,55.759731,40,8/14/2019
273,Kaguk & Guktu,-133.266022,55.760963,1,8/14/2019
274,Kaguk & Guktu,-133.276337,55.750725,2,8/14/2019
275,Kaguk & Guktu,-133.281967,55.747009,1,8/14/2019
276,Kaguk & Guktu,-133.284378,55.75071,1,8/14/2019
277,Kaguk & Guktu,-133.293945,55.741539,2,8/14/2019
278,Kaguk & Guktu,-133.286911,55.747971,1,8/14/2019
279,Kaguk & Guktu,-133.288147,55.74152,2,8/14/2019
280,Chusini & Naukati,-133.202011,55.815872,1,8/14/2019
281,Chusini & Naukati,-133.223999,55.849945,1,8/14/2019
282,Chusini & Naukati,-133.180618,55.856197,1,8/14/2019
283,Chusini & Naukati,-133.174393,55.857254,1,8/14/2019
284,Chusini & Naukati,-133.172836,55.852837,1,8/14/2019
285,Chusini & Naukati,-133.170242,55.850044,1,8/14/2019
286,Chusini & Naukati,-133.16507,55.859203,1,8/14/2019
287,Chusini & Naukati,-133.168732,55.846863,1,8/14/2019
288,Chusini & Naukati,-133.17363,55.841019,2,8/14/2019
289,Chusini & Naukati,-133.173523,55.839581,1,8/14/2019
290,Chusini & Naukati,-133.184128,55.831802,21,8/14/2019
291,Chusini & Naukati,-133.193817,55.84457,1,8/14/2019
292,Chusini & Naukati,-133.201263,55.840961,1,8/14/2019
293,Chusini & Naukati,-133.195496,55.838844,1,8/14/2019
294,Chusini & Naukati,-133.197693,55.83305,13,8/14/2019
295,Chusini & Naukati,-133.186707,55.836147,1,8/14/2019
296,Chusini & Naukati,-133.185501,55.826439,1,8/14/2019
297,Chusini & Naukati,-133.18251,55.828396,1,8/14/2019
298,Chusini & Naukati,-133.177597,55.82893,1,8/14/2019
299,Chusini & Naukati,-133.176407,55.826828,2,8/14/2019
300,Chusini & Naukati,-133.17366,55.82877,1,8/14/2019
301,Chusini & Naukati,-133.179077,55.824909,11,8/14/2019
302,Chusini & Naukati,-133.177307,55.834023,1,8/14/2019
303,Chusini & Naukati,-133.18042,55.822876,4,8/14/2019
304,Chusini & Naukati,-133.181747,55.821541,6,8/14/2019
305,Chusini & Naukati,-133.18277,55.820332,2,8/14/2019
306,Chusini & Naukati,-133.182663,55.819107,1,8/14/2019
307,Chusini & Naukati,-133.182159,55.81813,1,8/14/2019
308,Chusini & Naukati,-133.179184,55.817616,1,8/14/2019
309,Chusini & Naukati,-133.180374,55.817406,1,8/14/2019
310,Chusini & Naukati,-133.179672,55.814034,1,8/14/2019
311,Heceta,-133.495056,55.748657,2,8/15/2019
312,Heceta,-133.499084,55.76231,3,8/15/2019
313,Heceta,-133.495407,55.762939,1,8/15/2019
314,Heceta,-133.509384,55.764088,3,8/15/2019
315,Heceta,-133.496033,55.754169,1,8/15/2019
316,Heceta,-133.50412,55.75927,1,8/15/2019
317,Heceta,-133.506302,55.763985,1,8/15/2019
318,Heceta,-133.511902,55.762466,6,8/15/2019
319,Heceta,-133.507065,55.772873,1,8/15/2019
320,Heceta,-133.520889,55.765312,2,8/15/2019
321,Heceta,-133.526962,55.767956,2,8/15/2019
322,Heceta,-133.529617,55.770496,1,8/15/2019
323,Heceta,-133.526428,55.772335,1,8/15/2019
324,Heceta,-133.531525,55.774254,8,8/15/2019
325,Heceta,-133.539856,55.772758,2,8/15/2019
326,Heceta,-133.498886,55.756203,2,8/15/2019
327,Heceta,-133.503708,55.751751,1,8/15/2019
328,Nossuk,-133.356812,55.734451,1,8/15/2019
329,Nossuk,-133.349838,55.718788,1,8/15/2019
330,Nossuk,-133.348831,55.723591,1,8/15/2019
331,Nossuk,-133.347473,55.717251,3,8/15/2019
332,Nossuk,-133.341583,55.71479,1,8/15/2019
333,Nossuk,-133.342712,55.711292,1,8/15/2019
334,Nossuk,-133.342682,55.715874,2,8/15/2019
335,Nossuk,-133.332565,55.720612,1,8/15/2019
336,Nossuk,-133.335205,55.720352,1,8/15/2019
337,Nossuk,-133.347305,55.722027,1,8/15/2019
338,Nossuk,-133.340393,55.725479,1,8/15/2019
339,Nossuk,-133.339539,55.724083,1,8/15/2019
340,Nossuk,-133.335297,55.732388,1,8/15/2019
341,Nossuk,-133.33432,55.731201,1,8/15/2019
342,Nossuk,-133.343353,55.735497,1,8/15/2019
343,Nossuk,-133.342896,55.731918,1,8/15/2019
344,Salt Lake Bay,-133.397873,55.701229,1,8/15/2019
345,Salt Lake Bay,-133.402481,55.693344,2,8/15/2019
