site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,depth_m_MLLW,layer_number,layer_thickness_cm,layer_depth_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,7,1.1,12,21.59844949,1.387054196,0.82177,2.835268606,1.139839527,1.4112,5.184975622,1.957410882
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,8,1.1,14,21.59844949,2.377515572,1.11582,2.244652701,2.652879425,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,9,1.1,16,21.59844949,1.801910365,0.62154,1.652130713,1.119959368,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,10,1.1,18,21.59844949,1.758602626,1.08135,2.923561579,1.90166495,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,11,1.1,20,21.59844949,1.925240514,0.72761,1.806006851,1.40082425,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,12,1.1,22,21.59844949,1.753605508,0.59293,1.594942279,1.039765314,0.9869,2.755841748,1.730633276
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,13,1.1,24,21.59844949,1.979360139,0.752,1.806467731,1.488478825,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,14,1.1,26,21.59844949,1.597110478,0.69415,2.074716081,1.108634238,NA,NA,NA
2017_M_07,Garcia Cove,55.552669,-133.431392,7/26/2017,-0.59,15,1.1,28,21.59844949,1.906852157,0.62256,1.554214386,1.187129879,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,1,1.5,0,29.45243113,0.526459766,0.46438,3.318796891,0.244477386,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,2,1.4,2,27.48893572,1.476775253,0.84078,2.163324044,1.241643097,1.47983,3.891475323,2.185376323
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,3,1.2,4,23.5619449,1.585045723,0.79859,2.246571797,1.265801664,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,4,1.3,6,25.52544031,1.366957811,0.74938,2.270277476,1.024370844,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,5,1.4,8,27.48893572,1.471052223,0.25864,0.668115318,0.380472947,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,6,1.4,10,27.48893572,1.68477603,1.187,2.66939168,1.999829148,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,7,1.4,12,27.48893572,1.472167945,0.73325,1.902256324,1.079467145,2.00755,5.31234065,2.955450757
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,8,1.3,14,25.52544031,1.768487025,0.66159,1.537739215,1.170013331,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,9,1.4,16,27.48893572,1.716733252,0.83783,1.82973943,1.43833062,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,10,1.4,18,27.48893572,1.720181912,1.05091,2.327853659,1.807756373,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,11,1.4,20,27.48893572,1.755703476,1.11088,2.41437025,1.950375878,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,12,1.3,22,25.52544031,1.834823197,0.52726,1.171844354,0.967428879,2.82867,6.362011683,5.190109333
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,13,1.4,24,27.48893572,1.766304469,0.89878,1.939804297,1.58751913,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,14,1.4,26,27.48893572,1.787288912,1.16118,2.465006474,2.075364138,NA,NA,NA
2017_L_02,Goat Mouth Inlet,55.19286,-132.9,5/27/2017,-0.91,15,1.4,28,27.48893572,1.786799988,1.90175,4.057862224,3.398046876,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,1,1.3,0,25.52544031,0.757352264,2.50945,12.98097689,1.900537638,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,2,1.1,2,21.59844949,0.952210482,1.96668,9.562647967,1.872693311,2.69046,12.94782054,2.561884213
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,3,1.1,4,21.59844949,1.016199334,2.39535,10.91358659,2.434153076,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,4,1.1,6,21.59844949,1.020804295,2.27653,10.32543398,2.323891601,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,5,1.1,8,21.59844949,1.033964036,2.15956,9.67024031,2.232907373,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,6,0.9,10,17.67145868,0.928017336,0.94674,5.773009045,0.878591132,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,7,1.3,12,25.52544031,1.014845177,1.14126,4.405665917,1.158202207,4.30907,15.84787319,4.373038909
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,8,1.1,14,21.59844949,0.937513594,0.85565,4.225674162,0.802183506,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,9,1.1,16,21.59844949,1.023027602,0.92531,4.187717038,0.946617671,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,10,1.1,18,21.59844949,0.977810468,1.05051,4.974196454,1.027199674,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,11,1.1,20,21.59844949,1.022776658,2.47484,11.20324268,2.531208585,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,12,1.2,22,23.5619449,1.166714383,2.45797,8.941304602,2.867748951,3.7103,13.70828179,4.328860374
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,13,1.1,24,21.59844949,1.256016549,2.23819,8.250476168,2.81120368,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,14,1.2,26,23.5619449,1.103219624,2.28957,8.808071093,2.525898555,NA,NA,NA
2017_H_06,Guktu Cove,55.739816,-133.312022,7/24/2017,-0.69,15,1.1,28,21.59844949,1.066260335,2.20613,9.579553591,2.352308914,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,1,1.4,0,27.48893572,1.117486334,0.75498,2.585323943,0.843679832,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,2,1.4,2,27.48893572,1.254450167,0.5978,1.817764405,0.74991031,0.8452,2.634367714,1.060261281
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,3,1.3,4,25.52544031,1.391420464,0.46652,1.369092757,0.649125475,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,4,1.3,6,25.52544031,1.576975343,0.60331,1.563838981,0.951404994,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,5,1.3,8,25.52544031,1.505558358,0.6101,1.651038495,0.918541154,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,6,1.4,10,27.48893572,1.666756053,0.64841,1.466169298,1.080741292,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,7,1.4,12,27.48893572,1.71628107,0.53084,1.168118747,0.911070643,1.0759,2.408271256,1.846546803
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,8,1.4,14,27.48893572,1.585370218,0.80857,1.934556636,1.281882797,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,9,1.6,16,31.41592654,1.520971535,0.91647,1.993559927,1.393924782,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,10,1.4,18,27.48893572,1.819870384,0.66712,1.376294325,1.214071931,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,11,1.6,20,31.41592654,1.728104054,1.02984,1.968820885,1.779670679,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,12,1.5,22,29.45243113,1.703164665,0.65991,1.358458639,1.123935394,1.0351,2.166841114,1.762945745
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,13,1.3,24,25.52544031,1.866077114,0.68434,1.486979639,1.277031213,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,14,1.4,26,27.48893572,2.030586436,0.56277,1.03977211,1.142753128,NA,NA,NA
2017_L_07,Hetta Cove,55.155625,-132.589934,7/22/2017,-0.7,15,1.5,28,29.45243113,2.068723962,0.72139,1.220074237,1.492356779,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,1,1.3,0,25.52544031,1.193240925,1.17248,4.028513774,1.399051119,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,2,1.3,2,25.52544031,0.71692632,0.62969,3.760903778,0.451441335,1.02324,6.348934523,0.733587688
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,3,1.3,4,25.52544031,0.474077229,0.46691,4.375073205,0.221351399,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,4,1.2,6,23.5619449,0.863257685,0.78611,4.133894188,0.678615498,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,5,1.2,8,23.5619449,0.934123651,0.7621,3.672597632,0.711895635,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,6,1.3,10,25.52544031,0.956002314,0.90898,3.975902613,0.868986983,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,7,1.2,12,23.5619449,1.036591848,0.83496,3.633842574,0.865512729,0.79156,3.574507363,0.820524643
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,8,1.2,14,23.5619449,1.069457131,0.87812,3.662790673,0.939111696,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,9,1.2,16,23.5619449,1.128411093,0.9595,3.83746122,1.082710444,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,10,1.2,18,23.5619449,1.031336339,0.95358,4.178375141,0.983461706,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,11,1.3,20,25.52544031,1.218172914,0.07307,0.24608593,0.089011895,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,12,1.4,22,27.48893572,1.198539308,1.14938,3.65524819,1.37757711,1.77088,5.846371637,2.12246929
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,13,1.2,24,23.5619449,1.259499592,0.93655,3.338625893,1.179584343,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,14,1.2,26,23.5619449,1.255327186,0.96486,3.424509488,1.211214989,NA,NA,NA
2017_H_04,Kaguk Cove,55.73361,-133.29,6/24/2017,-1.03,15,1.3,28,25.52544031,1.26312493,1.06753,3.490561688,1.348423756,NA,NA,NA
2017_L_04,Natzuhini Bay 1,55.25051,-132.883,6/28/2017,-0.4,1,1.9,0,37.30641276,0.569023351,0.69471,3.505143612,0.395306212,NA,NA,NA
