site,latitude_N_dd,longitude_E_dd,date_YYYY/MM/DD,transect,replicate,sample_volume_cm3,bag_weight_g,bag_sed_ww_g,bag_sed_dw_g,pan_weight_g,pan_sed_dw_pre_450C_g,pan_sed_dw_post_450C_g
Sukkwan Narrows,55.188785,-132.842514,14/6/18,inside,5,115,4.3768,244.43,147.5,1.26258,38.76934,37.69708
Sukkwan Narrows,55.188785,-132.842514,14/6/18,outside,1,115,4.3718,220.36,183.19,1.25861,50.44933,49.94023
Sukkwan Narrows,55.188785,-132.842514,14/6/18,outside,2,115,4.381,236.39,171.89,1.28436,50.67389,49.95358
Sukkwan Narrows,55.188785,-132.842514,14/6/18,outside,3,115,4.3496,208.82,193.46,1.25488,41.40291,40.95382
Sukkwan Narrows,55.188785,-132.842514,14/6/18,outside,4,115,4.3706,190.81,171.09,1.27188,48.5316,47.86492
Sukkwan Narrows,55.188785,-132.842514,14/6/18,outside,5,115,4.3499,210.69,196.12,1.25093,40.63043,40.152
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,inside,1,115,4.3197,239.5,156.89,1.29776,46.2328,45.41087
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,inside,2,115,4.3312,237.19,151.96,1.3189,39.56697,38.77663
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,inside,3,115,4.3155,231.72,163.5,1.27517,43.8188,43.24335
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,inside,4,115,4.3063,246,155.93,1.2923,45.30938,44.66893
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,inside,5,115,4.33344,237.15,149.76,1.28499,41.52276,40.78437
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,outside,1,115,4.3429,219.23,185.83,1.30133,42.93286,42.51819
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,outside,2,115,4.3947,216.92,187.23,1.29719,42.54434,42.019
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,outside,3,115,4.3459,224.06,179.89,1.32645,45.34216,44.86583
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,outside,4,115,4.3067,216.12,191.94,1.27839,43.16525,42.73277
Natzuhini Bay 1,55.247155,-132.879137,15/6/18,outside,5,115,4.3124,211.12,186.89,1.25876,40.56677,40.1375
S Fish Egg Island,55.485687,-133.174447,25/6/18,inside,1,115,4.27,207.92,156.17,1.30243,40.88164,40.35408
S Fish Egg Island,55.485687,-133.174447,25/6/18,inside,2,115,4.2716,207.86,155.68,1.26283,38.50131,38.09019
S Fish Egg Island,55.485687,-133.174447,25/6/18,inside,3,115,4.2776,197.45,150.38,1.29469,32.23337,31.85502
S Fish Egg Island,55.485687,-133.174447,25/6/18,inside,4,115,4.2159,203.89,158.84,1.28695,39.64095,39.23136
S Fish Egg Island,55.485687,-133.174447,25/6/18,inside,5,115,4.2847,196.65,143.67,1.24743,35.5556,34.83279
S Fish Egg Island,55.485687,-133.174447,25/6/18,outside,1,115,4.2917,246.87,203.13,1.26156,47.56539,46.85723
S Fish Egg Island,55.485687,-133.174447,25/6/18,outside,2,115,4.2918,243.55,205.52,1.30127,43.66207,43.23345
S Fish Egg Island,55.485687,-133.174447,25/6/18,outside,3,115,4.2972,249.89,216.47,1.31552,43.77603,43.34402
