site,date,longitude,latitude,n_otters
Klawock & Shinaku,20190812,-133.186447,55.573746,2
Klawock & Shinaku,20190812,-133.190262,55.574341,1
Klawock & Shinaku,20190812,-133.189484,55.570446,1
Klawock & Shinaku,20190812,-133.195526,55.573837,1
Klawock & Shinaku,20190812,-133.19603,55.576172,3
Klawock & Shinaku,20190812,-133.18689,55.576908,1
Klawock & Shinaku,20190812,-133.190552,55.578342,1
Klawock & Shinaku,20190812,-133.138275,55.588654,1
Klawock & Shinaku,20190812,-133.139069,55.589317,1
Klawock & Shinaku,20190812,-133.11441,55.59729,1
Klawock & Shinaku,20190812,-133.119232,55.58654,1
Klawock & Shinaku,20190812,-133.125336,55.587509,1
Garcia Cove,20190813,-133.395599,55.570454,1
Garcia Cove,20190813,-133.430115,55.562603,1
Garcia Cove,20190813,-133.42424,55.563194,1
Garcia Cove,20190813,-133.449524,55.56303,1
Garcia Cove,20190813,-133.467209,55.549133,33
Blanquizal,20190813,-133.38884,55.613758,1
Blanquizal,20190813,-133.393066,55.613091,1
Blanquizal,20190813,-133.40593,55.626671,3
Blanquizal,20190813,-133.398529,55.62138,1
Blanquizal,20190813,-133.400162,55.634476,1
Blanquizal,20190813,-133.434738,55.631695,6
Kaguk & Guktu,20190814,-133.31398,55.765076,4
Kaguk & Guktu,20190814,-133.312912,55.76128,1
Kaguk & Guktu,20190814,-133.312164,55.760479,1
Kaguk & Guktu,20190814,-133.306641,55.764633,2
Kaguk & Guktu,20190814,-133.313095,55.754242,2
Kaguk & Guktu,20190814,-133.302017,55.753773,53
Kaguk & Guktu,20190814,-133.30098,55.751595,1
Kaguk & Guktu,20190814,-133.310608,55.748722,2
Kaguk & Guktu,20190814,-133.305756,55.750404,1
Kaguk & Guktu,20190814,-133.304367,55.751961,1
Kaguk & Guktu,20190814,-133.303268,55.7486,1
Kaguk & Guktu,20190814,-133.312607,55.746231,1
Kaguk & Guktu,20190814,-133.304794,55.753651,1
Kaguk & Guktu,20190814,-133.302567,55.756092,3
Kaguk & Guktu,20190814,-133.300232,55.760899,1
Kaguk & Guktu,20190814,-133.29924,55.767017,1
Kaguk & Guktu,20190814,-133.286652,55.76054,134
Kaguk & Guktu,20190814,-133.276886,55.763317,13
Kaguk & Guktu,20190814,-133.29924,55.772484,1
Kaguk & Guktu,20190814,-133.28688,55.775322,1
Kaguk & Guktu,20190814,-133.282471,55.75843,1
Kaguk & Guktu,20190814,-133.278503,55.758282,1
Kaguk & Guktu,20190814,-133.286209,55.756275,3
Kaguk & Guktu,20190814,-133.282104,55.753765,1
Kaguk & Guktu,20190814,-133.274872,55.759731,40
Kaguk & Guktu,20190814,-133.266022,55.760963,1
Kaguk & Guktu,20190814,-133.276337,55.750725,2
Kaguk & Guktu,20190814,-133.281967,55.747009,1
Kaguk & Guktu,20190814,-133.284378,55.75071,1
Kaguk & Guktu,20190814,-133.293945,55.741539,2
Kaguk & Guktu,20190814,-133.286911,55.747971,1
Kaguk & Guktu,20190814,-133.288147,55.74152,2
Chusini & Naukati,20190814,-133.202011,55.815872,1
Chusini & Naukati,20190814,-133.223999,55.849945,1
Chusini & Naukati,20190814,-133.180618,55.856197,1
Chusini & Naukati,20190814,-133.174393,55.857254,1
Chusini & Naukati,20190814,-133.172836,55.852837,1
Chusini & Naukati,20190814,-133.170242,55.850044,1
Chusini & Naukati,20190814,-133.16507,55.859203,1
Chusini & Naukati,20190814,-133.168732,55.846863,1
Chusini & Naukati,20190814,-133.17363,55.841019,2
Chusini & Naukati,20190814,-133.173523,55.839581,1
Chusini & Naukati,20190814,-133.184128,55.831802,21
Chusini & Naukati,20190814,-133.193817,55.84457,1
Chusini & Naukati,20190814,-133.201263,55.840961,1
Chusini & Naukati,20190814,-133.195496,55.838844,1
Chusini & Naukati,20190814,-133.197693,55.83305,13
Chusini & Naukati,20190814,-133.186707,55.836147,1
Chusini & Naukati,20190814,-133.185501,55.826439,1
Chusini & Naukati,20190814,-133.18251,55.828396,1
Chusini & Naukati,20190814,-133.177597,55.82893,1
Chusini & Naukati,20190814,-133.176407,55.826828,2
Chusini & Naukati,20190814,-133.17366,55.82877,1
Chusini & Naukati,20190814,-133.179077,55.824909,11
Chusini & Naukati,20190814,-133.177307,55.834023,1
Chusini & Naukati,20190814,-133.18042,55.822876,4
Chusini & Naukati,20190814,-133.181747,55.821541,6
Chusini & Naukati,20190814,-133.18277,55.820332,2
Chusini & Naukati,20190814,-133.182663,55.819107,1
Chusini & Naukati,20190814,-133.182159,55.81813,1
Chusini & Naukati,20190814,-133.179184,55.817616,1
Chusini & Naukati,20190814,-133.180374,55.817406,1
Chusini & Naukati,20190814,-133.179672,55.814034,1
Heceta,20190815,-133.495056,55.748657,2
Heceta,20190815,-133.499084,55.76231,3
Heceta,20190815,-133.495407,55.762939,1
Heceta,20190815,-133.509384,55.764088,3
Heceta,20190815,-133.496033,55.754169,1
Heceta,20190815,-133.50412,55.75927,1
Heceta,20190815,-133.506302,55.763985,1
Heceta,20190815,-133.511902,55.762466,6
Heceta,20190815,-133.507065,55.772873,1
Heceta,20190815,-133.520889,55.765312,2
Heceta,20190815,-133.526962,55.767956,2
Heceta,20190815,-133.529617,55.770496,1
Heceta,20190815,-133.526428,55.772335,1
Heceta,20190815,-133.531525,55.774254,8
Heceta,20190815,-133.539856,55.772758,2
Heceta,20190815,-133.498886,55.756203,2
Heceta,20190815,-133.503708,55.751751,1
Nossuk,20190815,-133.356812,55.734451,1
Nossuk,20190815,-133.349838,55.718788,1
Nossuk,20190815,-133.348831,55.723591,1
Nossuk,20190815,-133.347473,55.717251,3
Nossuk,20190815,-133.341583,55.71479,1
Nossuk,20190815,-133.342712,55.711292,1
Nossuk,20190815,-133.342682,55.715874,2
Nossuk,20190815,-133.332565,55.720612,1
Nossuk,20190815,-133.335205,55.720352,1
Nossuk,20190815,-133.347305,55.722027,1
Nossuk,20190815,-133.340393,55.725479,1
Nossuk,20190815,-133.339539,55.724083,1
Nossuk,20190815,-133.335297,55.732388,1
Nossuk,20190815,-133.33432,55.731201,1
Nossuk,20190815,-133.343353,55.735497,1
Nossuk,20190815,-133.342896,55.731918,1
Salt Lake Bay,20190815,-133.397873,55.701229,1
Salt Lake Bay,20190815,-133.402481,55.693344,2
Salt Lake Bay,20190815,-133.384521,55.691505,2
Salt Lake Bay,20190815,-133.385147,55.691311,4
Salt Lake Bay,20190815,-133.382645,55.690804,3
Salt Lake Bay,20190815,-133.380997,55.690186,3
Salt Lake Bay,20190815,-133.377258,55.689503,3
Salt Lake Bay,20190815,-133.376114,55.690109,2
Salt Lake Bay,20190815,-133.381042,55.689171,1
Salt Lake Bay,20190815,-133.378815,55.688332,1
Salt Lake Bay,20190815,-133.368881,55.690155,2
Salt Lake Bay,20190815,-133.373322,55.686371,1
Salt Lake Bay,20190815,-133.361481,55.688782,1
Salt Lake Bay,20190815,-133.362274,55.689926,1
