"","Field1","site","longitude","latitude","n_otters","survey_dat","area","site.site"
"952","254","Kaguk & Guktu",-133.30098,55.751595,1,"2019/08/14",6.725,"Kaguk Bay"
"1009","489","Kaguk & Guktu",-133.300552,55.749813,1,"2019/08/01",6.725,"Kaguk Bay"
"1116","490","Kaguk & Guktu",-133.302139,55.750324,1,"2019/08/01",6.725,"Kaguk Bay"
"1160","491","Kaguk & Guktu",-133.301224,55.748165,1,"2019/08/01",6.725,"Kaguk Bay"
"1226","253","Kaguk & Guktu",-133.302017,55.753773,53,"2019/08/14",6.725,"Kaguk Bay"
"1239","268","Kaguk & Guktu",-133.282471,55.75843,1,"2019/08/14",6.725,"Kaguk Bay"
"12951","258","Kaguk & Guktu",-133.303268,55.7486,1,"2019/08/14",6.725,"Kaguk Bay"
"1319","257","Kaguk & Guktu",-133.304367,55.751961,1,"2019/08/14",6.725,"Kaguk Bay"
"1370","493","Kaguk & Guktu",-133.302246,55.756248,40,"2019/08/01",6.725,"Kaguk Bay"
"1373","264","Kaguk & Guktu",-133.286652,55.76054,134,"2019/08/14",6.725,"Kaguk Bay"
"1381","269","Kaguk & Guktu",-133.278503,55.758282,1,"2019/08/14",6.725,"Kaguk Bay"
"1390","256","Kaguk & Guktu",-133.305756,55.750404,1,"2019/08/14",6.725,"Kaguk Bay"
"1437","260","Kaguk & Guktu",-133.304794,55.753651,1,"2019/08/14",6.725,"Kaguk Bay"
"1442","261","Kaguk & Guktu",-133.302567,55.756092,3,"2019/08/14",6.725,"Kaguk Bay"
"1771","272","Kaguk & Guktu",-133.274872,55.759731,40,"2019/08/14",6.725,"Kaguk Bay"
"1805","504","Kaguk & Guktu",-133.273834,55.75951,3,"2019/08/01",6.725,"Kaguk Bay"
"19421","262","Kaguk & Guktu",-133.300232,55.760899,1,"2019/08/14",6.725,"Kaguk Bay"
"1962","503","Kaguk & Guktu",-133.288925,55.763351,4,"2019/08/01",6.725,"Kaguk Bay"
"19661","255","Kaguk & Guktu",-133.310608,55.748722,2,"2019/08/14",6.725,"Kaguk Bay"
"2123","475","Kaguk & Guktu",-133.262192,55.757263,1,"2019/08/01",6.725,"Kaguk Bay"
"2386","492","Kaguk & Guktu",-133.313217,55.753742,1,"2019/08/01",6.725,"Kaguk Bay"
"2395","265","Kaguk & Guktu",-133.276886,55.763317,13,"2019/08/14",6.725,"Kaguk Bay"
"2428","252","Kaguk & Guktu",-133.313095,55.754242,2,"2019/08/14",6.725,"Kaguk Bay"
"2670","279","Kaguk & Guktu",-133.288147,55.74152,2,"2019/08/14",6.725,"Kaguk Bay"
"2675","277","Kaguk & Guktu",-133.293945,55.741539,2,"2019/08/14",6.725,"Kaguk Bay"
"19",NA,NA,NA,NA,NA,NA,11.0825,"Klawock airport"
"1446","34","Klawock & Shinaku",-133.095779,55.596306,1,"2019/07/30",11.0825,"Klawock airport"
"3349","192","Klawock & Shinaku",-133.110947,55.599438,1,"2019/08/12",11.0825,"Klawock airport"
"3536","234","Klawock & Shinaku",-133.11441,55.59729,1,"2019/08/12",11.0825,"Klawock airport"
"3891","193","Klawock & Shinaku",-133.113251,55.602016,1,"2019/08/12",11.0825,"Klawock airport"
"3928","235","Klawock & Shinaku",-133.119232,55.58654,1,"2019/08/12",11.0825,"Klawock airport"
"110",NA,NA,NA,NA,NA,NA,11.1025,"Natzuhini Bay"
"112",NA,NA,NA,NA,NA,NA,14.9075,"Naukati"
"100","431","Naukati",-133.184128,55.8559,1,"2019/07/31",14.9075,"Naukati"
"1651","282","Chusini & Naukati",-133.180618,55.856197,1,"2019/08/14",14.9075,"Naukati"
"180","425","Naukati",-133.178131,55.856396,3,"2019/07/31",14.9075,"Naukati"
"282","283","Chusini & Naukati",-133.174393,55.857254,1,"2019/08/14",14.9075,"Naukati"
"375","432","Naukati",-133.193329,55.852211,1,"2019/07/31",14.9075,"Naukati"
"471","424","Naukati",-133.177872,55.854927,1,"2019/07/31",14.9075,"Naukati"
"689","426","Naukati",-133.166061,55.862347,2,"2019/07/31",14.9075,"Naukati"
"733","433","Naukati",-133.211395,55.858063,1,"2019/07/31",14.9075,"Naukati"
"824","427","Naukati",-133.166504,55.863834,1,"2019/07/31",14.9075,"Naukati"
"876","428","Naukati",-133.165512,55.863327,1,"2019/07/31",14.9075,"Naukati"
"1000","284","Chusini & Naukati",-133.172836,55.852837,1,"2019/08/14",14.9075,"Naukati"
"10091","415","Naukati",-133.178513,55.851681,2,"2019/07/31",14.9075,"Naukati"
"1130","286","Chusini & Naukati",-133.16507,55.859203,1,"2019/08/14",14.9075,"Naukati"
"1836","285","Chusini & Naukati",-133.170242,55.850044,1,"2019/08/14",14.9075,"Naukati"
"2026","291","Chusini & Naukati",-133.193817,55.84457,1,"2019/08/14",14.9075,"Naukati"
"2778","287","Chusini & Naukati",-133.168732,55.846863,1,"2019/08/14",14.9075,"Naukati"
"2798","420","Naukati",-133.170471,55.846344,1,"2019/07/31",14.9075,"Naukati"
"2876","413","Naukati",-133.189636,55.84219,1,"2019/07/31",14.9075,"Naukati"
"2887","422","Naukati",-133.172424,55.845478,2,"2019/07/31",14.9075,"Naukati"
"3135","419","Naukati",-133.19545,55.83997,1,"2019/07/31",14.9075,"Naukati"
"3187","418","Naukati",-133.196426,55.840313,1,"2019/07/31",14.9075,"Naukati"
"3237","417","Naukati",-133.194168,55.840034,1,"2019/07/31",14.9075,"Naukati"
"3248","292","Chusini & Naukati",-133.201263,55.840961,1,"2019/08/14",14.9075,"Naukati"
"3259","281","Chusini & Naukati",-133.223999,55.849945,1,"2019/08/14",14.9075,"Naukati"
"3301","414","Naukati",-133.201859,55.840996,1,"2019/07/31",14.9075,"Naukati"
"3333","434","Naukati",-133.224731,55.85033,1,"2019/07/31",14.9075,"Naukati"
"3371","423","Naukati",-133.167007,55.845268,1,"2019/07/31",14.9075,"Naukati"
"3440","416","Naukati",-133.194336,55.839344,1,"2019/07/31",14.9075,"Naukati"
"3512","293","Chusini & Naukati",-133.195496,55.838844,1,"2019/08/14",14.9075,"Naukati"
"3707","421","Naukati",-133.163818,55.84462,2,"2019/07/31",14.9075,"Naukati"
"4066","288","Chusini & Naukati",-133.17363,55.841019,2,"2019/08/14",14.9075,"Naukati"
"4490","289","Chusini & Naukati",-133.173523,55.839581,1,"2019/08/14",14.9075,"Naukati"
"4691","295","Chusini & Naukati",-133.186707,55.836147,1,"2019/08/14",14.9075,"Naukati"
"4828","439","Chusini",-133.19429,55.83382,1,"2019/07/31",14.9075,"Naukati"
