"","otter_region","site","latitude","longitude","layer_number","layer_depth","layer_thickness","layer_volume_cm3","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","sed_ww_pre_60C","sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","sed_dw_pre_450C","sed_dw_post_450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","sed_dw_pre_950C","sed_dw_post_950C","dry_bulk_density","om_dw","im_dw"
"54","Mid","2017_M_08",55.282137,-133.334028,24,48,1,19.6349540849362,1.29531,28.53306,20.93863,27.23775,19.64332,20.93863,18.24924,19.64332,16.95393,NA,NA,NA,NA,NA,1.00042607255548,2.68939,NA
"55","High","2017_H_06",55.739816,-133.312022,1,2,1.3,25.5254403104171,1.28734,40.37477,20.61909,39.08743,19.33175,20.61909,18.10964,19.33175,16.8223,NA,NA,NA,NA,NA,0.757352263659507,2.50945,NA
"56","High","2017_H_06",55.739816,-133.312022,2,4,1.1,21.5984494934298,1.29193,34.55639,21.8582,33.26446,20.56627,21.8582,19.89152,20.56627,18.59959,24.85565,45.6349,42.94444,20.77925,18.08879,0.952210481880016,1.96668,2.69046
"57","High","2017_H_06",55.739816,-133.312022,3,6,1.1,21.5984494934298,1.30293,36.36605,23.25126,35.06312,21.94833,23.25126,20.85591,21.94833,19.55298,NA,NA,NA,NA,NA,1.01619933443262,2.39535,NA
"58","High","2017_H_06",55.739816,-133.312022,4,8,1.1,21.5984494934298,1.29728,35.42625,23.34507,34.12897,22.04779,23.34507,21.06854,22.04779,19.77126,NA,NA,NA,NA,NA,1.02080429461878,2.27653,NA
"59","High","2017_H_06",55.739816,-133.312022,5,10,1.1,21.5984494934298,1.29565,36.39281,23.62767,35.09716,22.33202,23.62767,21.46811,22.33202,20.17246,NA,NA,NA,NA,NA,1.03396403555697,2.15956,NA
"60","High","2017_H_06",55.739816,-133.312022,6,12,0.9,17.6714586764426,1.29274,29.34109,17.69216,28.04835,16.39942,17.69216,16.74542,16.39942,15.45268,NA,NA,NA,NA,NA,0.928017335765366,0.946740000000004,NA
"61","High","2017_H_06",55.739816,-133.312022,7,14,1.3,25.5254403104171,1.28584,43.07524,27.19021,41.7894,25.90437,27.19021,26.04895,25.90437,24.76311,28.13691,55.32712,51.01805,27.19021,22.88114,1.0148451773985,1.14126,4.30907
"62","High","2017_H_06",55.739816,-133.312022,8,16,1.1,21.5984494934298,1.28115,33.54461,21.52999,32.26346,20.24884,21.52999,20.67434,20.24884,19.39319,NA,NA,NA,NA,NA,0.937513593564187,0.855650000000001,NA
"63","High","2017_H_06",55.739816,-133.312022,9,18,1.1,21.5984494934298,1.29037,36.7789,23.38618,35.48853,22.09581,23.38618,22.46087,22.09581,21.1705,NA,NA,NA,NA,NA,1.02302760236199,0.92531,NA
"64","High","2017_H_06",55.739816,-133.312022,10,20,1.1,21.5984494934298,1.28662,35.6711,22.40581,34.38448,21.11919,22.40581,21.3553,21.11919,20.06868,NA,NA,NA,NA,NA,0.97781046766456,1.05051,NA
"65","High","2017_H_06",55.739816,-133.312022,11,22,1.1,21.5984494934298,1.28526,34.65497,23.37565,33.36971,22.09039,23.37565,20.90081,22.09039,19.61555,NA,NA,NA,NA,NA,1.02277665842262,2.47484,NA
"66","High","2017_H_06",55.739816,-133.312022,12,24,1.2,23.5619449019235,1.2795,40.41406,28.76956,39.13456,27.49006,28.76956,26.31159,27.49006,25.03209,28.68026,55.74638,52.03608,27.06612,23.35582,1.16671438263808,2.45797,3.7103
"67","High","2017_H_06",55.739816,-133.312022,13,26,1.1,21.5984494934298,1.29357,38.49739,28.42158,37.20382,27.12801,28.42158,26.18339,27.12801,24.88982,NA,NA,NA,NA,NA,1.25601654916258,2.23819,NA
"68","High","2017_H_06",55.739816,-133.312022,14,28,1.2,23.5619449019235,1.2835,38.98153,27.2775,37.69803,25.994,27.2775,24.98793,25.994,23.70443,NA,NA,NA,NA,NA,1.10321962419486,2.28957,NA
"69","High","2017_H_06",55.739816,-133.312022,15,30,1.1,21.5984494934298,1.29214,36.55845,24.32171,35.26631,23.02957,24.32171,22.11558,23.02957,20.82344,NA,NA,NA,NA,NA,1.06626033535442,2.20613,NA
"70","High","2017_H_06",55.739816,-133.312022,16,32,1.1,21.5984494934298,1.28744,33.19788,21.16308,31.91044,19.87564,21.16308,17.53705,19.87564,16.24961,NA,NA,NA,NA,NA,0.920234575451636,3.62603,NA
"71","High","2017_H_06",55.739816,-133.312022,17,34,1,19.6349540849362,1.28202,19.68686,19.68686,18.40484,18.40484,19.68686,17.50331,18.40484,16.22129,25.76036,44.20559,41.17408,18.44523,15.41372,0.937350804100941,2.18355,3.03151
"72","High","2017_H_06",55.739816,-133.312022,18,36,1.3,25.5254403104171,1.29198,25.04663,25.04663,23.75465,23.75465,25.04663,22.6117,23.75465,21.31972,NA,NA,NA,NA,NA,0.930626453887481,2.43493,NA
"73","High","2017_H_06",55.739816,-133.312022,19,38,1,19.6349540849362,1.2913,17.49275,17.49275,16.20145,16.20145,17.49275,15.32896,16.20145,14.03766,NA,NA,NA,NA,NA,0.82513307288198,2.16379,NA
"74","High","2017_H_06",55.739816,-133.312022,20,40,1.3,25.5254403104171,1.28454,24.01746,24.01746,22.73292,22.73292,24.01746,22.4167,22.73292,21.13216,NA,NA,NA,NA,NA,0.890598544963104,1.60076,NA
"75","High","2017_H_06",55.739816,-133.312022,21,42,0.9,17.6714586764426,1.28227,18.57781,18.57781,17.29554,17.29554,18.57781,15.99294,17.29554,14.71067,NA,NA,NA,NA,NA,0.978727354468835,2.58487,NA
