"","Season","Species","length.mean","length.sd","length.n","mass.mean","mass.sd","mass.n","edible.mean","edible.sd","edible.n","Kcal.mean","Kcal.sd","Kcal.n","protein.mean","protein.sd","protein.n","lipid.mean","lipid.sd","lipid.n","ash.mean","ash.sd","ash.n","moisture.mean","moisture.sd","moisture.n"
"27","Summer","cln",51.8333333333333,8.14324873745116,9,20.1044444444444,10.3849832824987,9,45.7926602008664,5.30935353781408,9,4.275812618829,0.372281644149118,9,60.8488888888889,5.65464067037961,9,0.84,0.250439613479976,6,2.67666666666667,0.261007662722764,9,87.73,1.82653360220939,9
"28","Summer","crg",170,14.142135623731,2,222.395,63.7173920527198,2,17.6210490754265,NA,1,4.8291108979005,0.00845012883694016,2,NA,NA,0,NA,NA,0,NA,NA,0,82.445,2.75064537881567,2
"29","Summer","crs",132.5,24.7487373415292,2,88.725,63.3496965265028,2,29.7108125684473,3.10330831139052,2,4.457456978265,0.216323298225654,2,NA,NA,0,NA,NA,0,NA,NA,0,78.575,3.21733585439879,2
"30","Summer","evt",49.375,9.0858995937976,8,18.44625,15.0790431086136,8,15.5348178783515,7.26982845412443,8,5.70775573523813,0.287805093582973,8,55.72,NA,1,NA,NA,0,NA,NA,0,77.01,3.98374554551725,8
"31","Summer","hak",52.6666666666667,24.3789526709687,3,19.31,18.9569723320999,3,66.8697141355043,4.74195807169811,3,4.635914594553,0.126703100180916,3,NA,NA,0,NA,NA,0,NA,NA,0,75.0866666666667,4.76533664428163,3
"32","Summer","mtr",42.2777777777778,4.47291230010655,9,3.47666666666667,0.685018247932126,9,43.3169460242706,6.96572853018436,9,4.6235659648545,0.148958025820978,8,54.0644444444444,3.85454962061429,9,NA,NA,0,NA,NA,0,82.7766666666667,1.82059056352602,9
"33","Summer","nul",30,2,8,0.96,0.399285075389215,8,23.6944354657918,9.52332745581342,8,4.99521988449,0.385528427155437,7,67.2125,5.45692940869025,8,NA,NA,0,NA,NA,0,76.7875,2.66212992062478,8
"34","Summer","pas",83.4,13.2778010227598,5,3.56,1.82050817081385,5,48.4463172420212,5.48907168617886,5,4.954588909353,0.220747385076603,5,NA,NA,0,NA,NA,0,NA,NA,0,74.942,1.4707039130974,5
"35","Summer","pio",71.875,11.9096299570678,8,83.2225,39.6681180906927,8,23.1841544073173,5.596037688165,8,6.001434033471,0.265657552015985,8,45.455,5.3245140623347,2,NA,NA,0,NA,NA,0,71.17875,2.65738559759131,8
"36","Summer","pom",39.3333333333333,9.23760430703401,3,2.73666666666667,1.65711596858317,3,37.4049581726134,11.5894726797304,3,4.993626512916,0.176869627644158,3,NA,NA,0,NA,NA,0,NA,NA,0,77.48,0.47791212581394,3
"37","Summer","prs",51.35,6.09667486786399,10,17.507,6.88664093251081,10,37.7528604679955,4.5703045511733,10,4.2958891006614,0.179702364706823,10,58.86,5.3792337331218,10,1.1025,0.278401046796062,8,2.529,0.188706120727442,10,86.52,2.09758061691188,10
"38","Summer","pup",50.6666666666667,12.7017059221718,3,19.4133333333333,16.549055360755,3,29.9336344222701,9.8534765585989,3,4.105321860411,0.625603316248394,3,47.35,2.89420109874901,3,1.63333333333333,1.45720051239812,3,NA,NA,0,82.3866666666667,3.51342188376706,3
"39","Summer","sag",60.5,8.72735164105736,10,32.555,13.9412045151534,10,46.9562326541191,4.55494329907819,10,4.3025812612722,0.240096829628816,10,60.797,5.55049957711516,10,0.934,0.369431996448602,5,2.605,0.440258762295287,10,84.786,2.04442983086565,10
"40","Summer","std",36.2222222222222,7.0494286608522,9,5.03333333333333,2.81046259537465,9,24.7167384064611,3.67057459335257,9,4.251115359432,0.678536400828103,9,35.4,4.68308125062976,9,3.05444444444444,4.57355745320618,9,1.96,NA,1,88.6744444444444,2.7370153046298,9
"41","Summer","stf",42.2857142857143,6.51828928769622,7,7.65,4.95329519949431,7,25.6517817724792,9.63469534548191,7,3.59908494890014,0.752831936973287,7,35.4716666666667,18.0473969498836,6,5.05833333333333,6.22883108349124,6,2.595,0.148492424049175,2,92.3542857142857,1.33950061767881,7
"42","Summer","tec",61.5,19.0918830920368,2,29.305,25.1517882068055,2,40.2551221891552,7.39531653038936,2,4.8028202669295,0.0388705926499224,2,61.01,6.88722004875697,2,NA,NA,0,2.74,0.169705627484771,2,83.02,0.339411254969546,2
"43","Summer","tes",25.1666666666667,1.04083299973307,3,0.956666666666667,0.182300118851671,3,13.5432939243734,2.26177346762274,3,4.704429572235,0.0706719121419694,3,74.6366666666667,2.48534370527164,3,1.36333333333333,0.1955334583475,3,NA,NA,0,75.0033333333333,1.0545773244923,3
"44","Winter","apc",234.8,99.7757485564503,5,354.658,272.613977668057,5,100,0,5,2.7523900569276,0.399105945326195,5,38.674,8.41509833572965,5,0.164,0.0357770876399966,5,3.262,0.67961018238399,5,92.946,0.86167279172549,5
"45","Winter","cam",66.125,6.61280323816358,4,21.5,5.90201660451748,4,39.7727921952917,4.04840155046703,4,5.11173518083875,0.601916147522607,4,68.9725,1.15144474465777,4,3.715,1.92035586979775,4,2.43,0.38096369030832,4,76.18,7.21822692910108,4
"46","Winter","cap",78,NA,1,34.88,NA,1,49.5454545454545,NA,1,4.882887188523,NA,1,66.89,NA,1,2.38,NA,1,3.15,NA,1,75.83,NA,1
"47","Winter","cef",63.25,5.56027577253743,4,2.0425,0.447539569945124,4,9.91710864836706,5.30852757639887,4,4.72215583099575,0.346870669715663,4,68.905,3.14990476046499,4,1.7625,1.55210341150324,4,NA,NA,0,74.94,2.70926804383275,4
"48","Winter","chr",61,NA,1,11.36,NA,1,50.8960573476702,NA,1,4.760994263112,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,77.58,NA,1
"49","Winter","cln",53.375,8.0350793399941,4,23.1475,12.2082386799516,4,48.7990932134233,2.76015588759231,4,4.57158221725275,0.182098479222671,4,63.37,2.37093511790883,4,0.8,0.243721152139079,4,2.3525,0.152178623115513,4,85.1325,1.95073276830358,4
"50","Winter","evt",40,15.8745078663875,7,18.9685714285714,19.5421420086365,7,16.7954031747158,10.1071178732518,7,5.51488664212457,0.397015451809724,7,47.85,NA,1,NA,NA,0,NA,NA,0,77.2314285714286,4.31604536804789,7
"51","Winter","lid",27.5,2.12132034355964,2,0.545,0.134350288425444,2,22.2142259414226,4.78820759277117,2,4.5972753338835,0.140272138693197,2,NA,NA,0,NA,NA,0,NA,NA,0,74.93,2.03646752981726,2
"52","Winter","map",17.1666666666667,1.94079021706795,6,0.42,0.279857106395389,6,18.1978386778306,11.5854152241239,6,NA,NA,0,78.185,2.12258097607606,6,NA,NA,0,NA,NA,0,77.17,6.00021999596682,6
"53","Winter","mtr",33.5,5.04975246918104,12,1.46666666666667,0.61700645839162,12,41.2115266269527,9.90102026405424,12,4.572179731593,0.0878813399041719,2,64.7018181818182,3.59938833187479,11,NA,NA,0,NA,NA,0,83.3083333333333,0.927360215718236,12
"54","Winter","nul",26.3333333333333,3.78593889720018,3,0.676666666666667,0.245831920899897,3,30.1448038400374,8.45130588701441,3,NA,NA,0,68.25,4.58356847881648,3,NA,NA,0,NA,NA,0,75.0966666666667,2.04881266428469,3
"55","Winter","pio",77.6666666666667,13.5030860670194,3,88.8566666666667,71.7354837812734,3,25.7995783127927,8.92214631519743,3,5.772785212602,0.30555678337688,3,48.33,NA,1,NA,NA,0,NA,NA,0,77,1.14240973385209,3
"56","Winter","prs",48.7222222222222,6.43773597194266,9,16.8811111111111,7.80585748724066,9,44.074322668731,4.67449789700725,9,4.356809007174,0.318067259542908,9,58.9022222222222,3.93205028508594,9,0.618888888888889,0.24977211836214,9,2.47888888888889,0.915429468124722,9,86.8522222222222,2.64291873587601,9
"57","Winter","sag",66.2,14.9892554110529,10,42.571,24.1799685001173,10,45.0363142176066,3.00089772990832,10,4.4921128099995,0.245573790080025,10,63.748,3.7406885878286,10,1.078,0.289321044285871,10,2.102,0.152872495891184,5,84.07,3.26763931098074,10
"58","Winter","std",38.5,2.29128784747792,3,7.47666666666667,2.19281402160177,3,37.9186918413659,9.67520295009629,3,3.530911407984,0.996543103362734,3,42.63,5.75953991218049,3,2.59,1.35841819775797,3,NA,NA,0,83.44,3.27903949351026,3
"59","Winter","stf",37.75,14.3614066163451,4,5.9425,3.40453007036213,4,22.1990260004375,4.3788296252771,4,2.6780592730005,1.46525234032533,2,17.6475,9.80758337546343,4,3.895,5.12441541381389,4,7.81,NA,1,74.9875,14.545763128829,4
"60","Winter","tec",45,NA,1,17.69,NA,1,38.9476001761339,NA,1,4.029636710646,NA,1,64.09,NA,1,NA,NA,0,NA,NA,0,89.29,NA,1
"61","Winter","tes",21,NA,1,0.38,NA,1,9.5959595959596,NA,1,4.770554492556,NA,1,74.45,NA,1,1.56,NA,1,NA,NA,0,75.65,NA,1
