Site,CollectionDate,Month,Year,Month and Year,SampleID,Length,Gonad vial mass,Vial+Wet gonad,WetGonadicMass,somatic vial mass,vial+somatic mass,WetSomaticMass,wetTotalMass,WGSI,vial+dry gonadic mass,DryGonadicMass,vial+dry somatic mass,DrySomaticMass,DryShellMass,TOTALWET,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,Unburned fuse,Fuse energy,Bomb,Gravid
Agnes,7/14/15,July,2015,15-Jul,M268,31,,,0.040,,,0.331,0.370,10.673,,0.005,,0.050,1.720,2.090,0.054,8.656,0.043,4580.800,248.740,,,1,
Agnes,4/28/15,April,2015,15-Apr,M353,32,1.1971,1.3598,0.163,1.211,1.413,0.202,0.365,44.588,1.222,0.025,1.242,0.031,1.603,1.968,0.056,44.504,0.051,4332.880,244.370,3.5,14.95,2,
Agnes,4/25/14,April,2014,14-Apr,M56,26,,,0.083,,,0.323,0.407,20.467,,0.010,,0.048,0.694,1.101,0.058,17.617,0.057,4094.640,237.080,,,,
Agnes,5/15/14,May,2014,14-May,M130,26,,,0.092,,,0.277,0.369,24.824,,0.014,,0.043,0.535,0.904,0.056,24.645,0.051,4201.630,236.970,,,,gravid
Agnes,3/21/15,March,2015,15-Mar,M178,37,,,0.044,,,0.571,0.615,7.190,,0.004,,0.055,1.408,2.023,0.059,5.963,0.062,3886.820,228.160,,,,not
Agnes,7/14/15,July,2015,15-Jul,M267,32,,,0.015,,,0.356,0.371,3.941,,0.002,,0.049,2.242,2.612,0.050,3.175,0.042,4496.110,226.600,,,1,
Agnes,9/1/14,September,2014,14-Sep,M157,29,,,0.023,,,0.285,0.308,7.458,,0.004,,0.043,0.686,0.994,0.047,7.479,0.047,4788.910,224.120,,,,
Agnes,4/28/15,April,2015,15-Apr,M351,30,1.2037,1.3096,0.106,1.206,1.437,0.231,0.337,31.443,1.221,0.017,1.242,0.035,1.223,1.560,0.053,32.762,0.047,4166.720,218.750,3.6,14.72,2,
Agnes,8/13/15,August,2015,15-Aug,M322,32,1.1986,1.2372,0.039,1.210,1.444,0.235,0.273,14.129,,0.006,,0.048,1.304,1.577,0.054,11.423,0.041,4013.020,217.830,3,16.1,1,
Agnes,9/1/14,September,2014,14-Sep,M152,31,,,0.021,,,0.293,0.315,6.709,,0.003,,0.043,0.748,1.062,0.046,6.579,0.046,4709.680,214.760,,,,
Agnes,4/28/15,April,2015,15-Apr,M356,30,1.2107,1.3879,0.177,1.199,1.356,0.157,0.334,53.054,1.242,0.031,1.223,0.024,0.915,1.249,0.056,56.216,0.049,3859.750,214.220,3.3,15.41,1,
Agnes,9/1/14,September,2014,14-Sep,M154,29,,,0.024,,,0.293,0.317,7.695,,0.003,,0.044,0.721,1.038,0.047,6.356,0.046,4492.890,212.060,,,,
Agnes,9/1/14,September,2014,14-Sep,M158,28,,,0.014,,,0.295,0.308,4.382,,0.002,,0.042,0.729,1.037,0.044,4.546,0.043,4623.640,203.440,,,,
Agnes,7/14/15,July,2015,15-Jul,M303,29,0.6232,0.7201,0.097,0.601,0.784,0.183,0.280,34.595,0.639,0.016,0.629,0.028,1.246,1.526,0.044,36.219,0.035,4128.090,181.220,3.7,14.49,2,
Agnes,3/21/15,March,2015,15-Mar,M180,33,,,0.042,,,0.409,0.451,9.244,,0.003,,0.043,1.120,1.571,0.046,6.911,0.047,3634.670,168.290,,,,
Agnes,4/28/15,April,2015,15-Apr,M358,26,1.1987,1.3456,0.147,1.204,1.282,0.078,0.225,65.289,1.223,0.024,1.219,0.015,0.708,0.933,0.039,61.795,0.032,4241.570,165.420,3.2,15.64,1,
Agnes,5/15/14,May,2014,14-May,M131,26,,,0.023,,,0.212,0.235,9.941,,0.004,,0.032,0.611,0.847,0.036,9.749,0.035,4216.330,151.370,,,,little gravid
Agnes,7/14/15,July,2015,15-Jul,M302,29,0.6121,0.773,0.161,0.603,0.747,0.144,0.305,52.771,0.642,0.030,0.631,0.028,0.487,0.792,0.058,51.646,,,,,,,
Agnes,4/1/14,April,2014,14-Apr,M137,42,,,0.619,,,1.078,1.697,36.476,,0.078,,0.157,2.712,4.409,0.235,33.277,,,,,,,gravid
Agnes,7/14/15,July,2015,15-Jul,M310,30,1.2127,1.2859,0.073,1.195,1.400,0.205,0.278,26.312,1.230,0.017,1.233,0.039,0.776,1.055,0.055,30.325,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M308,30,1.2023,1.3366,0.134,1.201,1.613,0.411,0.546,24.611,1.233,0.031,1.281,0.080,1.413,1.958,0.111,27.838,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M304,29,1.4208,1.4789,0.058,1.417,1.669,0.251,0.309,18.778,1.440,0.019,1.469,0.051,0.844,1.154,0.070,26.753,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M307,26,1.211,1.2578,0.047,1.212,1.426,0.215,0.261,17.904,1.222,0.011,1.243,0.031,0.444,0.706,0.043,26.291,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M309,28,1.1923,1.2394,0.047,1.207,1.405,0.199,0.246,19.154,1.204,0.012,1.241,0.034,0.554,0.800,0.046,25.862,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M306,29,1.2063,1.2412,0.035,1.204,1.418,0.214,0.249,14.027,1.216,0.009,1.241,0.037,1.092,1.341,0.046,20.044,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M311,25,1.2011,1.2402,0.039,1.212,1.393,0.181,0.220,17.797,1.211,0.010,1.252,0.040,1.052,1.272,0.050,19.920,,,,,,,
Agnes,4/1/14,April,2014,14-Apr,M140,32,,,0.089,,,0.495,0.584,15.279,,0.021,,0.091,0.929,1.513,0.112,18.621,,,,,,,little gravid
Agnes,7/14/15,July,2015,15-Jul,M305,28,1.4208,1.456,0.035,1.430,1.626,0.196,0.232,15.199,1.428,0.007,1.461,0.032,,,0.039,18.605,,,,,,,
Agnes,7/14/15,July,2015,15-Jul,M299,30,0.5972,0.6479,0.051,0.621,0.904,0.283,0.334,15.202,0.607,0.010,0.672,0.051,1.364,1.697,0.061,16.367,,,,,,,
Agnes,4/1/14,April,2014,14-Apr,M139,29,,,0.065,,,0.469,0.534,12.106,,0.013,,0.079,0.774,1.307,0.091,13.691,,,,,,,little gravid
Agnes,9/1/14,September,2014,14-Sep,M132,31,,,0.042,,,0.343,0.385,11.013,,0.007,,0.061,1.013,1.398,0.068,10.441,,,,,,,not gravid
Agnes,9/1/14,September,2014,14-Sep,M134,28,,,0.040,,,0.407,0.447,9.016,,0.006,,0.060,0.991,1.438,0.066,8.828,,,,,,,little gravid
Agnes,9/1/14,September,2014,14-Sep,M136,31,,,0.040,,,0.419,0.459,8.647,,0.008,,0.081,1.648,2.107,0.089,8.754,,,,,,,little gravid
Agnes,4/1/14,April,2014,14-Apr,M138,34,,,0.031,,,0.355,0.386,7.930,,0.005,,0.052,1.456,1.842,0.057,8.070,,,,,,,not gravid
Agnes,9/1/14,September,2014,14-Sep,M135,30,,,0.016,,,0.268,0.284,5.773,,0.002,,0.036,0.759,1.043,0.038,6.085,,,,,,,not gravid
Agnes,9/1/14,September,2014,14-Sep,M133,32,,,0.028,,,0.454,0.483,5.882,,0.004,,0.061,1.045,1.528,0.065,5.828,,,,,,,not gravid
Agnes,7/14/15,July,2015,15-Jul,M249,37,,,0.076,,,0.815,0.891,8.528,,0.006,,0.079,2.433,3.324,0.085,6.808,0.071,,,4.1,13.57,1,
Agnes,7/14/15,July,2015,15-Jul,M275,29,,,0.010,,,0.311,0.321,3.143,,0.002,,0.039,1.049,1.370,0.041,4.634,,,,,,,
