Calorimetry sample ID,Date run,lab ID,pellet number,species,collection site,pan weight,pan + pellet,pellet weight,gross heat (or GE) w/default,fuse correction,pan + ash,starting temp,acid corrrection,gross heat (or GE) w/ fuse and acid corrections,ash tin,tin + ash pre oven,post ashing oven,ashing loss?,grams ash,ash fraction,ash%DM,Ave ash%,ash sem,no of bombs,EE,Delta T,Calc GE cal/gDM,Ave GE cal/gDM,GE cal/g DM sem,no of bombs,GE per gram of organic matter,Ave GE cal/gOM,GE cal/g OM sem,no of bombs
96,11/10/11,099 C3,1,Nucella lamellosa,BC,12.1932,13.5659,1.3727,1613.16,19.74,13.0173,29.449,2.7,1615.02,,,,,0.8241,0.600349676,60.03,,,,2410.48,0.92902,1615.0,,,,4041.1,,,
66,11/8/11,100 C1,1,Telmessus cherigonus,PWS,12.2124,13.0768,0.8644,3090.98,19.18,12.4469,29.2513,6.5,3090.19,,,12.4265,0.0204,0.2345,0.271286441,27.13,26.75,0.378,2,2410.48,1.1188,3090.2,3129.5,39.29,2,4240.6,4272.188517,31.57092021,2
67,11/8/11,100 C2,1,Telmessus cherigonus,PWS,12.1839,13.1004,0.9165,3169.2,18.2,12.4256,28.9791,7.2,3168.77,,,12.4118,0.0138,0.2417,0.263720676,26.37,,,,2410.48,1.21535,3168.8,,,,4303.8,,,
70,11/8/11,104 C2,1,Astraea gibberosa,BC,12.2375,13.6893,1.4518,2218.14,12.04,12.8707,29.1322,7.2,2222.11,1.0751,1.6958,1.5816,0.1142,0.6332,0.43614823,43.61,60.25,8.326,3,2410.48,1.34633,2222.1,1560.5,331.57,3,3940.9,3921.017898,26.00928658,3
71,11/8/11,104 C4,1,Astraea gibberosa,BC,12.2434,13.2917,1.0483,1263.78,19.04,12.9554,29.5468,1.5,1268.03,1.0442,1.7234,1.5353,0.1881,0.712,0.679194887,67.92,,,,2410.48,0.55998,1268.0,,,,3952.7,,,
72,11/8/11,104 C4,2,Astraea gibberosa,BC,12.2225,13.1015,0.879,1178.03,12.32,12.8309,29.5362,1.1,1191.2,1.0674,1.6626,1.5457,0.1169,0.6084,0.692150171,69.22,,,,2410.48,0.43995,1191.2,,,,3869.4,,,
98,11/18/11,107-108 C1,1,Cancer productus,BC,12.1448,12.9667,0.8219,2528.7,17.64,12.4565,29.232,3.8,2533.03,,,,,0.3117,0.379243217,37.92,37.49,0.436,2,2410.48,0.87258,2533.0,2555.2,22.18,2,4080.6,4087.504696,6.954640259,2
99,11/18/11,107-108 C3,1,Cancer productus,BC,12.2866,13.1041,0.8175,2573.86,17.92,12.5895,29.5736,4.2,2577.38,,,,,0.3029,0.370519878,37.05,,,,2410.48,0.88328,2577.4,,,,4094.5,,,
57,10/31/11,110 C1,1,Modiolus modiolus,Glacier Bay,12.239,12.7781,0.5391,4677.29,12.46,12.2994,29.6938,13.7,4675.14,,,,,0.0604,0.112038583,11.20,11.35,0.148,2,2410.48,1.05644,4675.1,4658.9,16.25,2,5265.0,5255.489078,9.53597184,2
56,10/31/11,110 C2,1,Modiolus modiolus,Glacier Bay,12.2164,12.8581,0.6417,4653.95,15.26,12.2902,29.5734,17,4642.64,,,,,0.0738,0.115007013,11.50,,,,2410.48,1.24931,4642.6,,,,5246.0,,,
54,10/31/11,111 C1,1,Modiolus modiolus,Glacier Bay,12.2498,12.8486,0.5988,4540.34,19.6,12.3286,29.8139,17.1,4520.8,,,,,0.0788,0.131596526,13.16,13.92,0.758,2,2410.48,1.13826,4520.8,4488.7,32.14,2,5205.9,5214.457421,8.586334652,2
55,10/31/11,111 C2,1,Modiolus modiolus,Glacier Bay,12.2486,12.7317,0.4831,4461.1,13.02,12.3195,29.4841,14.2,4456.51,,,,,0.0709,0.146760505,14.68,,,,2410.48,0.90445,4456.5,,,,5223.0,,,
41,10/28/11,114 C3,1,Halocynthia aurantium,Glacier Bay,12.2952,13.0933,0.7981,2937.51,14.14,12.5343,29.6842,9.7,2938.97,,,12.5393,-0.005,0.2391,0.299586518,29.96,29.96,,1,2410.48,0.98297,2939.0,2939.0,,1,4196.0,4196.045663,,1
47,10/31/11,115 C2,1,Halocynthia aurantium,Glacier Bay,12.1945,12.6292,0.4347,2625.4,21,12.3381,28.9742,4.6,2624.02,,,,,0.1436,0.330342765,33.03,35.19,2.154,2,2410.48,0.48383,2624.0,2636.8,12.78,2,3918.5,4073.559274,155.1032853,2
46,10/28/11,115 C3,1,Halocynthia aurantium,Glacier Bay,12.2305,13.0079,0.7774,2641.76,13.02,12.5208,29.597,5.9,2649.57,,,12.5209,-1E-04,0.2903,0.373424235,37.34,,,,2410.48,0.86236,2649.6,,,,4228.7,,,
