site,longitude,latitude,replicate,date_MM/DD/YY,waypoint_name,so_count
Guktu Cove,-133.288498,55.751186,1,6/6/18,WP0016,2
Guktu Cove,-133.301529,55.748653,1,6/6/18,WP0017,1
Guktu Cove,-133.299744,55.75391,1,6/6/18,WP0018,2
Guktu Cove,-133.296021,55.754585,1,6/6/18,WP0019,6
Guktu Cove,-133.300232,55.75713,1,6/6/18,WP0020,1
Guktu Cove,-133.295471,55.757771,1,6/6/18,WP0021,1
Guktu Cove,-133.290329,55.759029,1,6/6/18,WP0022,1
Guktu Cove,-133.287292,55.763535,1,6/6/18,WP0023,1
Guktu Cove,-133.281723,55.761444,1,6/6/18,WP0024,1
Guktu Cove,-133.278687,55.764179,1,6/6/18,WP0025,6
Guktu Cove,-133.274826,55.761086,1,6/6/18,WP0026,1
Guktu Cove,-133.284683,55.752193,1,6/6/18,WP0027,1
Guktu Cove,-133.295547,55.73624,1,6/6/18,WP0028,1
Guktu Cove,-133.276978,55.746967,1,6/6/18,WP0029,1
Guktu Cove,-133.267273,55.752132,1,6/6/18,WP0030,1
Guktu Cove,-133.262772,55.750481,1,6/6/18,WP0031,3
Guktu Cove,-133.254517,55.754589,1,6/6/18,WP0032,1
Hauti Island,-133.195084,55.848503,1,6/6/18,WP0035,3
Hauti Island,-133.190628,55.849056,1,6/6/18,WP0036,1
Hauti Island,-133.192307,55.848515,1,6/6/18,WP0037,1
Hauti Island,-133.180954,55.843834,1,6/6/18,WP0038,1
Hauti Island,-133.171738,55.837101,1,6/6/18,WP0039,1
Hauti Island,-133.17366,55.848583,1,6/6/18,WP0040,2
Hauti Island,-133.171219,55.853249,1,6/6/18,WP0041,1
Hauti Island,-133.17511,55.853832,1,6/6/18,WP0042,4
Hauti Island,-133.168777,55.861637,1,6/6/18,WP0043,1
Hauti Island,-133.169083,55.858509,1,6/6/18,WP0044,1
Hauti Island,-133.152298,55.880466,1,6/6/18,WP0045,1
Hauti Island,-133.170776,55.884262,1,6/6/18,WP0046,1
Hauti Island,-133.15889,55.884251,1,6/6/18,WP0047,1
Kaguk Cove,-133.327209,55.761986,1,6/6/18,WP0002,2
Kaguk Cove,-133.323639,55.764294,1,6/6/18,WP0003,1
Kaguk Cove,-133.326904,55.768661,1,6/6/18,WP0004,1
Kaguk Cove,-133.320877,55.765911,1,6/6/18,WP0005,1
Kaguk Cove,-133.312042,55.770447,1,6/6/18,WP0006,1
Kaguk Cove,-133.307114,55.760326,1,6/6/18,WP0007,1
Kaguk Cove,-133.311768,55.767998,1,6/6/18,WP0008,1
Kaguk Cove,-133.309067,55.769699,1,6/6/18,WP0009,1
Kaguk Cove,-133.300461,55.767597,1,6/6/18,WP0010,1
Kaguk Cove,-133.299179,55.767147,1,6/6/18,WP0011,3
Kaguk Cove,-133.300644,55.764339,1,6/6/18,WP0012,1
Kaguk Cove,-133.303635,55.762115,1,6/6/18,WP0013,2
Kaguk Cove,-133.308655,55.758949,1,6/6/18,WP0014,1
Kaguk Cove,-133.308044,55.758083,1,6/6/18,WP0015,1
Kaguk Cove,-133.288498,55.751186,1,6/6/18,WP0016,2
Kaguk Cove,-133.301529,55.748653,1,6/6/18,WP0017,1
Kaguk Cove,-133.299744,55.75391,1,6/6/18,WP0018,2
Kaguk Cove,-133.296021,55.754585,1,6/6/18,WP0019,6
Kaguk Cove,-133.300232,55.75713,1,6/6/18,WP0020,1
Kaguk Cove,-133.295471,55.757771,1,6/6/18,WP0021,1
Kaguk Cove,-133.290329,55.759029,1,6/6/18,WP0022,1
Kaguk Cove,-133.287292,55.763535,1,6/6/18,WP0023,1
Kaguk Cove,-133.281723,55.761444,1,6/6/18,WP0024,1
Kaguk Cove,-133.278687,55.764179,1,6/6/18,WP0025,6
Kaguk Cove,-133.274826,55.761086,1,6/6/18,WP0026,1
Kaguk Cove,-133.284683,55.752193,1,6/6/18,WP0027,1
Kaguk Cove,-133.295547,55.73624,1,6/6/18,WP0028,1
Kaguk Cove,-133.276978,55.746967,1,6/6/18,WP0029,1
Kaguk Cove,-133.267273,55.752132,1,6/6/18,WP0030,1
Kaguk Cove,-133.262772,55.750481,1,6/6/18,WP0031,3
Kaguk Cove,-133.254517,55.754589,1,6/6/18,WP0032,1
Kinani,-133.254974,55.885017,1,6/7/18,WP0028,1
Kinani,-133.260696,55.886738,1,6/7/18,WP0029,1
Kinani,-133.255905,55.888195,1,6/7/18,WP0030,1
Kinani,-133.25528,55.889244,1,6/7/18,WP0031,1
Kinani,-133.269058,55.8787,1,6/7/18,WP0032,1
Kinani,-133.266449,55.877529,1,6/7/18,WP0033,1
Kinani,-133.275299,55.872639,1,6/7/18,WP0034,1
Kinani,-133.283691,55.873615,1,6/7/18,WP0035,1
Kinani,-133.284958,55.871246,1,6/7/18,WP0036,4
Kinani,-133.279312,55.877151,1,6/7/18,WP0037,1
Kinani,-133.281509,55.869869,1,6/7/18,WP0038,1
Kinani,-133.285675,55.87674,1,6/7/18,WP0039,1
Kinani,-133.282333,55.868073,1,6/7/18,WP0040,4
Kinani,-133.276184,55.880901,1,6/7/18,WP0041,1
Kinani,-133.291428,55.879185,1,6/7/18,WP0042,1
Kinani,-133.284927,55.880516,1,6/7/18,WP0043,1
