site,transect_location,species_common,death_estimate,width_mm
Blanquizal Bay,Outside,Pointed macoma,Whole,32
Blanquizal Bay,Outside,Pointed macoma,Whole,77
Blanquizal Bay,Outside,Steamer clam,Whole,25
Chusini,Edge,Bentnose macoma,Sea Otter,23
Chusini,Edge,Bentnose macoma,Sea Otter,32
Chusini,Edge,Bentnose macoma,Whole,48
Chusini,Edge,Bentnose macoma,Whole,44
Chusini,Edge,Bentnose macoma,Whole,44
Chusini,Edge,Bentnose macoma,Whole,50
Chusini,Edge,Bentnose macoma,Whole,53
Chusini,Edge,Bentnose macoma,Whole,41
Chusini,Edge,Bentnose macoma,Whole,53
Chusini,Edge,Bentnose macoma,Whole,43
Chusini,Edge,Bentnose macoma,Whole,44
Chusini,Edge,Bentnose macoma,Whole,32
Chusini,Edge,Bentnose macoma,Whole,44
Chusini,Edge,Bentnose macoma,Whole,43
Chusini,Edge,Bentnose macoma,Whole,48
Chusini,Edge,Bentnose macoma,Whole,46
Chusini,Edge,Bentnose macoma,Whole,42
Chusini,Edge,Bentnose macoma,Whole,55
Chusini,Edge,Bentnose macoma,Whole,38
Chusini,Edge,Bentnose macoma,Whole,44
Chusini,Edge,Bentnose macoma,Whole,50
Chusini,Edge,Bentnose macoma,Whole,50
Chusini,Edge,Bentnose macoma,Whole,38
Chusini,Edge,Bentnose macoma,Whole,42
Chusini,Edge,Bentnose macoma,Whole,41
Chusini,Edge,Bentnose macoma,Whole,50
Chusini,Edge,Bentnose macoma,Whole,37
Chusini,Edge,Bentnose macoma,Whole,42
Chusini,Edge,Butter clam,Sea Otter,47
Chusini,Edge,Butter clam,Sea Otter,46
Chusini,Edge,Butter clam,Sea Otter,50
Chusini,Edge,Butter clam,Whole,62
Chusini,Edge,Cockle,Sea Otter,53
Chusini,Edge,Cockle,Sea Otter,44
Chusini,Edge,Cockle,Sea Otter,37
Chusini,Edge,Cockle,Sea Otter,45
Chusini,Edge,Cockle,Crab,33
Chusini,Edge,Cockle,Crab,34
Chusini,Edge,Cockle,Whole,36
Chusini,Edge,Cockle,Whole,39
Chusini,Edge,Cockle,Whole,43
Chusini,Edge,Pointed macoma,Sea Otter,34
Chusini,Edge,Pointed macoma,Crab,53
Chusini,Edge,Steamer clam,Sea Otter,53
Chusini,Inside,Bentnose macoma,Sea Otter,43
Chusini,Inside,Bentnose macoma,Sea Otter,50
Chusini,Inside,Bentnose macoma,Sea Otter,41
Chusini,Inside,Bentnose macoma,Sea Otter,40
Chusini,Inside,Bentnose macoma,Sea Otter,42
Chusini,Inside,Bentnose macoma,Sea Otter,34
Chusini,Inside,Bentnose macoma,Crab,43
Chusini,Inside,Bentnose macoma,Crab,27
Chusini,Inside,Bentnose macoma,Whole,45
Chusini,Inside,Bentnose macoma,Whole,47
Chusini,Inside,Bentnose macoma,Whole,44
Chusini,Inside,Bentnose macoma,Whole,55
Chusini,Inside,Bentnose macoma,Whole,45
Chusini,Inside,Bentnose macoma,Whole,54
Chusini,Inside,Bentnose macoma,Whole,41
Chusini,Inside,Bentnose macoma,Whole,37
Chusini,Inside,Bentnose macoma,Whole,37
Chusini,Inside,Bentnose macoma,Whole,48
Chusini,Inside,Bentnose macoma,Whole,45
Chusini,Inside,Bentnose macoma,Whole,53
Chusini,Inside,Butter clam,Sea Otter,35
Chusini,Inside,Cockle,Sea Otter,52
Chusini,Inside,Cockle,Sea Otter,25
Chusini,Inside,Cockle,Sea Otter,29
Chusini,Inside,Cockle,Crab,35
Chusini,Inside,Cockle,Crab,40
Chusini,Inside,Cockle,Whole,30
Chusini,Inside,Cockle,Whole,41
Chusini,Inside,Cockle,Whole,28
Chusini,Inside,Cockle,Whole,42
Chusini,Inside,Cockle,Whole,31
Chusini,Inside,Pointed macoma,Sea Otter,49
Chusini,Inside,Pointed macoma,Sea Otter,50
Chusini,Inside,Pointed macoma,Sea Otter,50
Chusini,Inside,Pointed macoma,Whole,40
Chusini,Inside,Steamer clam,Whole,31
Chusini,Outside,Bentnose macoma,Whole,33
Chusini,Outside,Bentnose macoma,Whole,44
Chusini,Outside,Bentnose macoma,Whole,45
Chusini,Outside,Bentnose macoma,Whole,32
Chusini,Outside,Bentnose macoma,Whole,38
Chusini,Outside,Butter clam,Sea Otter,41
Chusini,Outside,Butter clam,Sea Otter,49
Chusini,Outside,Butter clam,Sea Otter,42
Chusini,Outside,Butter clam,Sea Otter,34
Chusini,Outside,Butter clam,Sea Otter,47
Chusini,Outside,Butter clam,Sea Otter,42
Chusini,Outside,Butter clam,Sea Otter,40
Chusini,Outside,Butter clam,Sea Otter,34
Chusini,Outside,Butter clam,Whole,59
Chusini,Outside,Butter clam,Whole,55
Chusini,Outside,Butter clam,Whole,65
Chusini,Outside,Butter clam,Whole,48
Chusini,Outside,Butter clam,Whole,51
Chusini,Outside,Butter clam,Whole,36
Chusini,Outside,Butter clam,Whole,50
Chusini,Outside,Butter clam,Whole,40
Chusini,Outside,Cockle,Sea Otter,31
Chusini,Outside,Cockle,Whole,29
Chusini,Outside,Cockle,Whole,34
Chusini,Outside,Pointed macoma,Whole,39
Chusini,Outside,Steamer clam,Sea Otter,33
Chusini,Outside,Steamer clam,Sea Otter,34
Chusini,Outside,Steamer clam,Sea Otter,29
Chusini,Outside,Steamer clam,Sea Otter,27
Chusini,Outside,Steamer clam,Whole,34
Chusini,Outside,Steamer clam,Whole,36
Chusini,Outside,Steamer clam,Whole,28
Dunbar Inlet,Edge,Butter clam,Crab,65
Dunbar Inlet,Edge,Butter clam,Whole,59
Dunbar Inlet,Edge,Butter clam,Whole,61
Dunbar Inlet,Edge,Butter clam,Whole,53
Dunbar Inlet,Edge,Butter clam,Whole,57
Dunbar Inlet,Edge,Cockle,Whole,42
Dunbar Inlet,Edge,Cockle,Whole,51
Dunbar Inlet,Edge,Cockle,Whole,57
Dunbar Inlet,Edge,Cockle,Whole,70
Dunbar Inlet,Edge,Cockle,Whole,45
Dunbar Inlet,Edge,Cockle,Whole,39
Dunbar Inlet,Edge,Cockle,Whole,43
Dunbar Inlet,Edge,Cockle,Whole,37
Dunbar Inlet,Edge,Cockle,Whole,35
Dunbar Inlet,Edge,Cockle,Whole,59
Dunbar Inlet,Edge,Cockle,Whole,45
Dunbar Inlet,Edge,Cockle,Whole,30
Dunbar Inlet,Edge,Cockle,Whole,35
Dunbar Inlet,Edge,Cockle,Whole,52
Dunbar Inlet,Edge,Softshell clam,Sea Otter,103
Dunbar Inlet,Edge,Softshell clam,Sea Otter,108
Dunbar Inlet,Edge,Softshell clam,Sea Otter,97
Dunbar Inlet,Edge,Softshell clam,Sea Otter,108
Dunbar Inlet,Edge,Softshell clam,Sea Otter,96
Dunbar Inlet,Edge,Steamer clam,Sea Otter,52
Dunbar Inlet,Edge,Steamer clam,Crab,46
Dunbar Inlet,Edge,Steamer clam,Crab,51
Dunbar Inlet,Edge,Steamer clam,Crab,41
Dunbar Inlet,Edge,Steamer clam,Whole,49
Dunbar Inlet,Edge,Steamer clam,Whole,48
Dunbar Inlet,Edge,Steamer clam,Whole,56
Dunbar Inlet,Edge,Steamer clam,Whole,50
Dunbar Inlet,Edge,Steamer clam,Whole,49
Dunbar Inlet,Edge,Steamer clam,Whole,53
Dunbar Inlet,Edge,Steamer clam,Whole,47
Dunbar Inlet,Edge,Steamer clam,Whole,50
