"site_code","site_name","latitude_N","longitude_E","year","date_MMDDYY","date_YYYYMMDD","trans_loc","bin_no","bin_area_m2","pit_count_bin","pit_density_m2","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no","field_collector","notes"
"H_04_a","Kaguk Cove a",55.73361,-133.29,2017,"7/7/13",20170707,"Outside",9,20,0,0,"Muddy Sand","Cobble",3,8,5.5,"Tiff Stephens",NA
"H_04_a","Kaguk Cove a",55.73361,-133.29,2017,"7/7/13",20170707,"Outside",10,20,0,0,"Muddy Sand","Sand",3,4,3.5,"Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",1,20,0,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",2,20,0,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",3,20,0,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",4,20,0,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",5,20,1,0.05,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",6,20,0,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",7,20,0,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
"H_05_a","Naukati Bay a",55.862405,-133.190722,2017,"7/24/2013",20170725,"Edge",8,20,0,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",NA
