site_name,site_code,latitude_N,longitude_E,so_region,year,date_mm.dd.yyyy,date_yyyy.mm.dd,trans_loc,bin_no,bin_area_m2,pit_count_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,6,20,1,Sand,Cobble,4,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,7,20,0,Sand,Cobble,4,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,8,20,1,Muddy Sand,Cobble,3,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,9,20,0,Muddy Sand,Cobble,3,8,Tiff Stephens,
Kaguk Cove a,H_04_a,55.73361,-133.29,High,2017,7/7/13,20170707,Outside,10,20,0,Muddy Sand,Sand,3,4,Tiff Stephens,
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,1,20,0,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,2,20,0,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,3,20,0,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,4,20,0,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,5,20,1,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,6,20,0,Sandy mud,Gravel,2,7,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
Naukati Bay a,H_05_a,55.862405,-133.190722,High,2017,7/24/2013,20170725,Edge,7,20,0,Sandy mud,Sandy mud,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",
